"id","tleaf","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu"
"e_y_0_1",25.02,97.98,173.197,1.768,3.436,10.737
"e_y_0_2",25.011,96.124,180.354,1.876,2.531,11.367
"e_y_0_3",25.01,100.959,182.416,1.807,1.105,11.732
"e_y_0_4",25.023,89.374,165.96,1.857,3.421,10.486
"e_y_35_5",25.008,107.692,205.409,1.907,1.195,12.182
"e_y_35_6",25.005,73.592,143.073,1.944,1.927,9.231
"e_y_35_7",24.991,87.76,163.023,1.858,3.656,10.986
"e_y_35_8",25.016,80.813,153.905,1.904,1.776,9.903
"e_y_70_9",25.009,91.651,167.641,1.829,3.973,10.891
"e_y_70_10",25.012,84.042,154.735,1.841,3.715,9.367
"e_y_70_11",25.018,108.414,204.846,1.889,2.061,12.138
"e_y_70_12",25.002,86.626,164.628,1.9,3.441,10.383
"e_y_105_13",25.011,106.766,197.329,1.848,1.538,11.508
"e_y_105_14",28.851,95.228,172.043,1.807,3.506,12.724
"e_y_105_15",24.994,86.926,169.682,1.952,2.34,10.585
"e_y_105_16",25.002,97.007,181.266,1.869,2.909,11.091
"e_y_140_17",25.008,70.269,130.732,1.86,2.293,7.915
"e_y_140_18",24.997,79.587,165.036,2.074,1.198,10.418
"e_y_140_19",25.003,108.413,200.046,1.845,3.009,12.162
"e_y_140_20",25.005,96.5,176.805,1.832,3.136,11.334
"e_y_210_21",25.006,73.236,142.798,1.95,1.55,9.364
"e_y_210_22",25.008,68.667,134.047,1.952,2.545,8.514
"e_y_210_23",25.006,84.625,164.609,1.945,1.941,9.909
"e_y_210_24",24.991,69.622,130.373,1.873,2.773,8.191
"e_y_280_25",25.006,90.278,171.66,1.901,3.475,11.007
"e_y_280_26",25.003,72.988,137.935,1.89,3.683,9.284
"e_y_280_27",25.003,86.862,161.126,1.855,3.088,9.716
"e_y_280_28",24.998,65.241,137.053,2.101,0.866,NA
"e_y_350_29",25.006,108.985,189.622,1.74,6.11,10.866
"e_y_350_30",25.006,91.047,167.627,1.841,3.687,10.778
"e_y_350_31",24.997,83.612,161.638,1.933,1.031,9.815
"e_y_350_32",25.005,87.049,164.101,1.885,1.356,9.982
"e_y_630_33",24.993,51.067,97.57,1.911,2.357,6.453
"e_y_630_34",24.998,123.578,214.502,1.736,6.967,12.936
"e_y_630_35",25.002,77.265,137.307,1.777,1.025,8.007
"e_y_630_36",24.993,96.544,174.996,1.813,2.891,10.604
"e_n_0_37",NA,NA,NA,NA,NA,NA
"e_n_0_38",NA,NA,NA,NA,NA,NA
"e_n_0_39",24.998,19.949,37.385,1.874,2.459,NA
"e_n_0_40",24.988,58.454,116.19,1.988,0.053,7.333
"e_n_35_41",25,64.619,116.825,1.808,2.437,7.441
"e_n_35_42",24.995,37.764,73.237,1.939,1.626,5.031
"e_n_35_43",25,27.399,56.723,2.07,1.272,NA
"e_n_35_44",24.993,27.558,56.606,2.054,0.033,4.157
"e_n_70_45",24.993,46.533,95.193,2.046,1.881,6.751
"e_n_70_46",25.003,38.901,75.402,1.938,1.539,5.381
"e_n_70_47",25.013,99.741,191.087,1.916,1.095,11.241
"e_n_70_48",24.996,40.507,80.479,1.987,0.98,5.59
"e_n_105_49",24.988,45.013,89.017,1.978,1.983,5.772
"e_n_105_50",24.998,43.441,83.021,1.911,2.423,5.851
"e_n_105_51",24.995,38.679,83.057,2.147,1.803,NA
"e_n_105_52",24.999,26.13,51.681,1.978,1.741,3.595
"e_n_140_53",24.997,41.917,81.985,1.956,2.126,5.857
"e_n_140_54",25.001,69.468,132.232,1.903,1.971,8.37
"e_n_140_55",24.999,59.54,113.022,1.898,3.673,7.444
"e_n_140_56",24.994,38.719,77.833,2.01,2.244,5.361
"e_n_210_57",25.006,65.442,122.641,1.874,3.361,7.76
"e_n_210_58",24.994,54.928,110.125,2.005,2.027,7.692
"e_n_210_59",25.005,67.931,129.865,1.912,2.818,8.76
"e_n_210_60",24.996,32.632,66.516,2.038,0.936,NA
"e_n_280_61",25.007,46.356,94.718,2.043,2.822,6.426
"e_n_280_62",24.994,62.489,114.559,1.833,3.956,8.08
"e_n_280_63",25.002,82.12,154.642,1.883,3.611,NA
"e_n_280_64",24.999,74.569,144.326,1.935,2.85,9.4
"e_n_350_65",24.997,100.459,176.515,1.757,5.97,10.32
"e_n_350_66",25.005,72.208,142.003,1.967,2.806,9.328
"e_n_350_67",25.001,77.303,151.165,1.955,1.352,9.668
"e_n_350_68",25.009,87.334,168.79,1.933,2.863,10.61
"e_n_630_69",24.997,85.622,163.02,1.904,3.374,10.668
"e_n_630_70",24.995,87.379,160.402,1.836,3.161,10.135
"e_n_630_71",25.006,84.418,152.298,1.804,2.984,9.022
"e_n_630_72",24.988,90.645,156.771,1.73,2.867,9.267
"a_y_0_73",25.01,97.91,167.638,1.712,1.797,9.704
"a_y_0_74",25.029,119.692,214.875,1.795,3.571,12.217
"a_y_0_75",25.012,108.211,186.172,1.72,4.913,11.222
"a_y_0_76",25.009,79.382,137.508,1.732,2.278,8.275
"a_y_35_77",25.02,108.265,188.657,1.743,3.118,10.644
"a_y_35_78",25.04,106.971,196.039,1.833,2.385,11.083
"a_y_35_79",NA,NA,NA,NA,NA,NA
"a_y_35_80",25.012,110.291,202.002,1.832,3.656,11.856
"a_y_70_81",25.036,93.421,160.367,1.717,1.553,9.381
"a_y_70_82",25.024,92.431,164.571,1.78,2.553,9.67
"a_y_70_83",25.024,104.39,183.238,1.755,3.419,10.488
"a_y_70_84",25.026,94.231,173.673,1.843,2.276,10.382
"a_y_105_85",27.376,113.828,195.823,1.72,2.382,12.187
"a_y_105_86",25.039,84.564,NA,NA,1.964,9.276
"a_y_105_87",25.02,96.058,163.536,1.702,2.933,9.924
"a_y_105_88",25.02,96.317,169.141,1.756,1.441,10.327
