id,tla,focal_biomass,leaf_biomass,chlor_biomass,stem_biomass,root_biomass,nodule_biomass,total_biomass,bvr
E_Y_0_1,227.03,0.183,1.763,0.134,0.582,1.308,0.319,4.289,0.715
E_Y_0_2,281.53,0.156,2.017,0.172,0.63,1.139,0.371,4.485,0.748
E_Y_0_3,328.46,0.147,2.098,0.152,0.724,1.391,0.401,4.913,0.819
E_Y_0_4,241.05,0.113,1.707,0.096,0.783,1.201,0.332,4.232,0.705
E_Y_35_5,216.08,0.112,1.456,0.076,0.524,0.936,0.298,3.402,0.567
E_Y_35_6,265.22,0.104,1.521,0.104,0.547,1.284,0.246,3.806,0.634
E_Y_35_7,357.42,0.105,2.294,0.122,0.85,1.721,0.388,5.48,0.913
E_Y_35_8,225.9,0.118,1.488,0.137,0.549,0.993,0.3,3.585,0.598
E_Y_70_9,439.19,0.124,3.088,0.116,1.137,1.857,0.481,6.803,1.134
E_Y_70_10,189.68,0.111,1.264,0.094,0.517,1.152,0.245,3.383,0.564
E_Y_70_11,367.78,0.169,2.415,0.135,1.023,1.511,0.352,5.605,0.934
E_Y_70_12,384.51,0.172,2.605,0.163,1.066,1.823,0.382,6.211,1.035
E_Y_105_13,557.79,0.192,3.495,0.164,1.419,2.126,0.494,7.89,1.315
E_Y_105_14,486.62,0.171,3.155,0.137,1.525,2.39,0.399,7.777,1.296
E_Y_105_15,507.54,0.165,2.966,0.143,1.48,2.442,0.345,7.541,1.257
E_Y_105_16,408.37,0.191,2.469,0.178,0.985,1.553,0.43,5.806,0.968
E_Y_140_17,481.58,0.111,2.96,0.104,1.594,2.158,0.335,7.262,1.210
E_Y_140_18,433.51,0.165,2.697,0.136,1.229,1.833,0.351,6.411,1.069
E_Y_140_19,538.26,0.268,3.685,0.152,1.389,1.902,0.518,7.914,1.319
E_Y_140_20,650.3,0.19,4.124,0.18,1.893,2.678,0.548,9.613,1.602
E_Y_210_21,513.16,0.105,3.418,0.117,1.514,2.361,0.296,7.811,1.302
E_Y_210_22,553.93,0.148,3.702,0.141,2.369,4.414,0.257,11.031,1.839
E_Y_210_23,576.32,0.129,3.688,0.104,1.828,2.536,0.177,8.462,1.410
E_Y_210_24,728.24,0.153,4.77,0.118,2.587,3.64,0.278,11.546,1.924
E_Y_280_25,687.89,0.261,4.852,0.193,2.592,3.295,0.239,11.432,1.905
E_Y_280_26,800.01,0.139,5.626,0.162,3.146,4.421,0.204,13.698,2.283
E_Y_280_27,872,0.232,6.573,0.173,3.553,5.527,0.439,16.497,2.750
E_Y_280_28,649.08,0.22,4.406,0.198,2.009,3.488,0.231,10.552,1.759
E_Y_350_29,712.06,0.175,5.003,0.152,2.652,3.353,0.29,11.625,1.938
E_Y_350_30,637.09,0.194,4.484,0.177,2.108,3.311,0.28,10.554,1.759
E_Y_350_31,694.58,0.249,5.235,0.224,3.468,3.648,0.177,13.001,2.167
E_Y_350_32,654.94,0.242,5.122,0.187,2.849,6.955,0.093,15.448,2.575
E_Y_630_33,725.17,0.206,5.258,0.181,3.336,4.297,0.023,13.301,2.217
E_Y_630_34,834.18,0.148,6.758,0.144,2.951,4.213,0.047,14.261,2.377
E_Y_630_35,938.96,0.168,7.008,0.156,3.636,4.708,0.037,15.713,2.619
E_Y_630_36,1087.67,0.27,7.746,0.243,4.152,4.811,0.035,17.257,2.876
E_N_0_37,32.77,0.027,0.202,0.016,0.238,0.378,0.037,0.898,0.150
E_N_0_38,21,0.021,0.106,0.015,0.133,0.407,0.005,0.687,0.115
E_N_0_39,34.35,0.052,0.204,0.029,0.247,0.621,0.022,1.175,0.196
E_N_0_40,40.21,0.046,0.221,0.028,0.189,0.374,0.041,0.899,0.150
E_N_35_41,94.82,0.068,0.682,0.045,0.391,0.698,0.062,1.946,0.324
E_N_35_42,110.49,0.055,0.638,0.031,0.313,1.074,0.061,2.172,0.362
E_N_35_43,78.87,0.074,0.51,0.042,0.365,0.732,0.039,1.762,0.294
E_N_35_44,88.88,0.032,0.614,0.022,0.257,0.671,0.04,1.636,0.273
E_N_70_45,141.62,0.082,1.011,0.058,0.441,0.871,0.064,2.527,0.421
E_N_70_46,80.75,0.073,0.52,0.059,0.25,0.835,0.027,1.764,0.294
E_N_70_47,282.05,0.183,1.911,0.12,0.796,1.478,0.267,4.755,0.793
