id,d13c_air,co2_ppm
EP_ch1_420_1,-6.79,670
EP_ch1_420_2,-6.31,703
EP_ch1_420_3,-6.43,744
EP_ch1_1000_1,-5.15,1009
EP_ch1_1000_2,-5.09,926
EP_ch1_1000_3,-5.06,883
EP_ch2_420_1,-8.11,352
EP_ch2_420_2,-8.12,333
EP_ch2_420_3,-7.80,310
EP_ch2_1000_1,-5.71,1065
EP_ch2_1000_2,-5.68,1065
EP_ch2_1000_3,-5.76,1053
EP_ch3_420_1,-12.45,502
EP_ch3_420_2,-11.33,464
EP_ch3_420_3,-11.73,475
EP_ch3_1000_1,-6.58,1045
EP_ch3_1000_2,-6.42,1199
EP_ch3_1000_3,-7.46,991
EP_ch4_420_1,-7.46,417
EP_ch4_420_2,-8.14,400
EP_ch4_420_3,-9.47,408
EP_ch4_1000_1,-5.48,933
EP_ch4_1000_2,-5.53,995
EP_ch4_1000_3,-6.39,1107
EP_ch5_420_1,-8.71,379
EP_ch5_420_2,-9.13,448
EP_ch5_420_3,-9.66,388
EP_ch5_1000_1,-6.53,1086
EP_ch5_1000_2,-6.67,999
EP_ch5_1000_3,-7.22,957
EP_ch6_420_1,-8.39,378
EP_ch6_420_2,-8.95,394
EP_ch6_420_3,-9.58,407
EP_ch6_1000_1,-5.42,1038
EP_ch6_1000_2,-5.64,1049
EP_ch6_1000_3,-5.23,998
