id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1	0.225	0.212	0.236	0.223	-0.011	-0.011
blank	B1	0.263	0.246	0.236	0.223	0.027	0.023
blank	C1	0.22	0.21	0.236	0.223	-0.016	-0.013
50	A2	0.261	0.316	0.236	0.223	0.025	0.093
50	B2	0.266	0.319	0.236	0.223	0.03	0.096
50	C2	0.254	0.307	0.236	0.223	0.018	0.084
53	A3	0.246	0.271	0.236	0.223	0.01	0.048
53	B3	0.252	0.277	0.236	0.223	0.016	0.054
53	C3	0.255	0.28	0.236	0.223	0.019	0.057
54	A4	0.263	0.312	0.236	0.223	0.027	0.089
54	B4	0.27	0.321	0.236	0.223	0.034	0.098
54	C4	0.267	0.319	0.236	0.223	0.031	0.096
55	A5	0.257	0.289	0.236	0.223	0.021	0.066
55	B5	0.261	0.293	0.236	0.223	0.025	0.07
55	C5	0.254	0.286	0.236	0.223	0.018	0.063
58	A6	0.264	0.313	0.236	0.223	0.028	0.09
58	B6	0.268	0.316	0.236	0.223	0.032	0.093
58	C6	0.268	0.318	0.236	0.223	0.032	0.095
62	A7	0.255	0.299	0.236	0.223	0.019	0.076
62	B7	0.261	0.305	0.236	0.223	0.025	0.082
62	C7	0.265	0.31	0.236	0.223	0.029	0.087
63	A8	0.288	0.377	0.236	0.223	0.052	0.154
63	B8	0.294	0.385	0.236	0.223	0.058	0.162
63	C8	0.276	0.374	0.236	0.223	0.04	0.151
64	A9	0.272	0.336	0.236	0.223	0.036	0.113
64	B9	0.278	0.337	0.236	0.223	0.042	0.114
64	C9	0.276	0.34	0.236	0.223	0.04	0.117
67	A10	0.302	0.402	0.236	0.223	0.066	0.179
67	B10	0.297	0.397	0.236	0.223	0.061	0.174
67	C10	0.303	0.405	0.236	0.223	0.067	0.182
72	A11	0.362	0.574	0.236	0.223	0.126	0.351
72	B11	0.369	0.577	0.236	0.223	0.133	0.354
72	C11	0.329	0.538	0.236	0.223	0.093	0.315
1	A12	0.311	0.459	0.236	0.223	0.075	0.236
1	B12	0.313	0.461	0.236	0.223	0.077	0.238
1	C12	0.317	0.469	0.236	0.223	0.081	0.246
2	D1	0.34	0.513	0.236	0.223	0.104	0.29
