id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
bypass,bypass,0,2.273,49.554,A,0.029,100,Ordnr,Nitrogen,,,,,,,
bypass,bypass,0,2.196,150.399,A,0.091,6.464,Ordnr,Nitrogen,3.527,5737.673,A,1.313,93.536,Ordnr,Carbon
blank,blank,0,,,,,,,,,,,,,,
blank,blank,0,,,,,,,,,,,,,,
std - 0.1,standard,0.059,2.132,8.674,A,0.004,6.168,Ordnr,Nitrogen,3.627,209.273,A,0.044,74.088,Ordnr,Carbon
std - 0.25,standard,0.213,2.083,37.259,A,0.021,9.952,Ordnr,Nitrogen,3.54,784.173,A,0.168,78.923,Ordnr,Carbon
std - 0.5,standard,0.506,2.044,91.684,A,0.055,10.799,Ordnr,Nitrogen,3.412,1813.522,A,0.395,78.034,Ordnr,Carbon
std - 1.0,standard,1.056,2.004,186.394,A,0.113,10.691,Ordnr,Nitrogen,3.259,3555.235,A,0.791,74.925,Ordnr,Carbon
std - 1.5,standard,1.424,1.957,241.968,A,0.147,10.331,Ordnr,Nitrogen,3.139,4555.811,A,1.027,72.107,Ordnr,Carbon
std - 2.0,standard,1.96,1.931,326.543,A,0.199,10.165,Ordnr,Nitrogen,3.043,6008.116,A,1.38,70.418,Ordnr,Carbon
std - 3.0,standard,3.233,1.913,548.021,A,0.336,10.393,Ordnr,Nitrogen,2.936,9517.027,A,2.301,71.16,Ordnr,Carbon
QC,quality_control,1.231,1.897,204.257,A,0.124,10.065,Ordnr,Nitrogen,3.068,3839.641,A,0.858,69.663,Ordnr,Carbon
a_y_280_97_tr,unknown,1.411,1.909,35.722,A,0.02,1.435,Ordnr,Nitrogen,3.125,2661.103,A,0.586,41.506,Ordnr,Carbon
a_y_105_86_tr,unknown,1.791,1.908,41.995,A,0.024,1.346,Ordnr,Nitrogen,3.099,3337.581,A,0.741,41.359,Ordnr,Carbon
a_y_140_90_tr,unknown,3.062,1.923,79.048,A,0.047,1.531,Ordnr,Nitrogen,3.029,5817.566,A,1.333,43.534,Ordnr,Carbon
a_y_140_91_tr,unknown,2.181,1.917,52.988,A,0.031,1.415,Ordnr,Nitrogen,3.099,3954.959,A,0.885,40.559,Ordnr,Carbon
a_y_140_92_tr,unknown,2.285,1.924,62.253,A,0.037,1.6,Ordnr,Nitrogen,3.085,4417.723,A,0.994,43.498,Ordnr,Carbon
a_y_140_89_tr,unknown,2.145,1.929,58.339,A,0.034,1.592,Ordnr,Nitrogen,3.1,4231.507,A,0.95,44.278,Ordnr,Carbon
a_y_280_99_tr,unknown,2.323,1.933,63.883,A,0.038,1.617,Ordnr,Nitrogen,3.088,4619.483,A,1.042,44.856,Ordnr,Carbon
a_y_630_107_tr,unknown,2.668,1.931,96.47,A,0.058,2.158,Ordnr,Nitrogen,3.081,4879.464,A,1.104,41.392,Ordnr,Carbon
a_n_280_135_tr,unknown,2.33,1.935,58.221,A,0.034,1.462,Ordnr,Nitrogen,3.087,4539.62,A,1.023,43.903,Ordnr,Carbon
a_y_35_80_tr,unknown,2.012,1.917,63.666,A,0.037,1.86,Ordnr,Nitrogen,3.091,3957.807,A,0.885,43.999,Ordnr,Carbon
a_n_280_133_tr,unknown,2.046,1.916,59.082,A,0.035,1.691,Ordnr,Nitrogen,3.079,4080.146,A,0.914,44.674,Ordnr,Carbon
QC,quality_control,1.156,1.897,192.037,A,0.116,10.067,Ordnr,Nitrogen,3.083,3614.1,A,0.805,69.628,Ordnr,Carbon
a_y_105_88_tr,unknown,2.478,1.915,67.046,A,0.039,1.594,Ordnr,Nitrogen,3.053,4717.584,A,1.065,42.997,Ordnr,Carbon
a_y_35_79_tr,unknown,1.96,1.905,41.141,A,0.024,1.203,Ordnr,Nitrogen,3.083,3774.53,A,0.842,42.976,Ordnr,Carbon
a_y_280_98_tr,unknown,2.079,1.915,55.507,A,0.032,1.559,Ordnr,Nitrogen,3.08,4038.326,A,0.904,43.492,Ordnr,Carbon
a_n_140_128_tr,unknown,1.943,1.913,47.792,A,0.028,1.424,Ordnr,Nitrogen,3.097,3729.49,A,0.832,42.81,Ordnr,Carbon
a_n_0_112_tr,unknown,1.603,1.917,42.211,A,0.024,1.512,Ordnr,Nitrogen,3.143,2924.92,A,0.646,40.289,Ordnr,Carbon
a_y_0_74_tr,unknown,2.045,1.928,57.571,A,0.034,1.647,Ordnr,Nitrogen,3.108,3956.376,A,0.885,43.273,Ordnr,Carbon
a_y_210_96_tr,unknown,1.367,1.923,39.673,A,0.023,1.659,Ordnr,Nitrogen,3.16,2597.558,A,0.571,41.786,Ordnr,Carbon
a_n_140_125_tr,unknown,1.617,1.932,40.904,A,0.023,1.449,Ordnr,Nitrogen,3.149,2922.822,A,0.645,39.91,Ordnr,Carbon
a_y_70_83_tr,unknown,1.535,1.927,37.933,A,0.022,1.408,Ordnr,Nitrogen,3.145,3018.694,A,0.667,43.473,Ordnr,Carbon
a_y_0_75_tr,unknown,3.018,1.931,76.256,A,0.045,1.496,Ordnr,Nitrogen,3.04,5783.058,A,1.324,43.887,Ordnr,Carbon
a_n_105_122_tr,unknown,2.303,1.925,37.587,A,0.021,0.929,Ordnr,Nitrogen,3.083,4034.468,A,0.903,39.222,Ordnr,Carbon
QC,quality_control,0.92,1.901,150.527,A,0.091,9.873,Ordnr,Nitrogen,3.104,2893.571,A,0.639,69.419,Ordnr,Carbon
a_y_630_105_tr,unknown,1.972,1.916,70.824,A,0.042,2.121,Ordnr,Nitrogen,3.087,3759.821,A,0.839,42.54,Ordnr,Carbon
a_n_35_116_tr,unknown,2.248,1.912,43.976,A,0.025,1.126,Ordnr,Nitrogen,3.084,3727.474,A,0.831,36.981,Ordnr,Carbon
a_y_0_73_tr,unknown,1.475,1.904,36.849,A,0.021,1.42,Ordnr,Nitrogen,3.115,2904.528,A,0.641,43.469,Ordnr,Carbon
a_n_105_121_tr,unknown,1.458,1.903,26.077,A,0.014,0.983,Ordnr,Nitrogen,3.128,2537.811,A,0.558,38.248,Ordnr,Carbon
a_y_350_103_tr,unknown,2.041,1.919,64.971,A,0.038,1.873,Ordnr,Nitrogen,3.089,3855.389,A,0.861,42.197,Ordnr,Carbon
a_n_280_134_tr,unknown,2.727,1.924,84.041,A,0.05,1.831,Ordnr,Nitrogen,3.057,5174.466,A,1.176,43.11,Ordnr,Carbon
a_n_350_138_tr,unknown,2.193,1.924,60.525,A,0.035,1.618,Ordnr,Nitrogen,3.092,4259.213,A,0.956,43.608,Ordnr,Carbon
a_n_630_141_tr,unknown,2.049,1.928,91.517,A,0.055,2.662,Ordnr,Nitrogen,3.124,3589.214,A,0.799,39,Ordnr,Carbon
a_y_210_93_tr,unknown,2.184,1.929,71.858,A,0.042,1.944,Ordnr,Nitrogen,3.092,4290.385,A,0.964,44.126,Ordnr,Carbon
a_n_350_137_tr,unknown,2.101,1.929,49.956,A,0.029,1.38,Ordnr,Nitrogen,3.091,4100.166,A,0.919,43.73,Ordnr,Carbon
a_n_0_110_tr,unknown,1.95,1.94,23.442,A,0.013,0.652,Ordnr,Nitrogen,3.113,3259.507,A,0.723,37.062,Ordnr,Carbon
QC,quality_control,0.544,1.9,86.208,A,0.051,9.426,Ordnr,Nitrogen,3.145,1746.016,A,0.38,69.819,Ordnr,Carbon
a_n_0_109_tr,unknown,1.964,1.932,126.235,A,0.076,3.864,Ordnr,Nitrogen,3.085,3727.692,A,0.831,42.331,Ordnr,Carbon
a_n_35_113_tr,unknown,1.743,2.255,73.502,A,0.043,2.494,Ordnr,Nitrogen,3.115,2985.569,A,0.66,37.85,Ordnr,Carbon
a_y_35_77_tl,unknown,2.929,1.935,186.867,A,0.113,3.865,Ordnr,Nitrogen,3.041,5479.607,A,1.25,42.675,Ordnr,Carbon
a_n_630_143_tl,unknown,2.607,1.928,216.691,A,0.132,5.046,Ordnr,Nitrogen,3.06,5020.083,A,1.138,43.661,Ordnr,Carbon
a_y_630_106_tl,unknown,1.984,1.947,186.49,A,0.113,5.694,Ordnr,Nitrogen,3.116,3910.029,A,0.874,44.055,Ordnr,Carbon
a_y_350_104_tl,unknown,2.59,1.945,174.714,A,0.106,4.082,Ordnr,Nitrogen,3.085,4964.707,A,1.125,43.432,Ordnr,Carbon
a_y_210_94_tl,unknown,2.796,1.956,195.5,A,0.119,4.238,Ordnr,Nitrogen,3.089,5396.82,A,1.23,43.981,Ordnr,Carbon
a_n_210_130_tl,unknown,3.061,1.969,212.652,A,0.129,4.216,Ordnr,Nitrogen,3.091,5625.173,A,1.286,42,Ordnr,Carbon
a_n_70_120_tl,unknown,1.945,1.968,135.717,A,0.082,4.202,Ordnr,Nitrogen,3.153,3500.17,A,0.778,40.021,Ordnr,Carbon
a_n_105_124_tl,unknown,2.448,1.975,134.381,A,0.081,3.305,Ordnr,Nitrogen,3.132,4379.852,A,0.985,40.234,Ordnr,Carbon
a_n_35_114_tl,unknown,1.776,2.084,113.034,A,0.068,3.816,Ordnr,Nitrogen,3.155,3134.18,A,0.694,39.068,Ordnr,Carbon
