obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
1,1663772964,0,9/21/22 10:09,10:09:23,5,albert,a_y_140_91,1663772956,0.00553742,5.537420288,21.39601019,391.2946401,275.2975967,25.00013123,35.53397294,0.339227681,2.762100878,0.317665366,0.200363821,321.5093822,25.38597214,25.13757333,3.205850948,52.67551048,1.665319622,3.161468408,1.540531326,-244.2002347,-34.82567117,-2.667535793,39.81594048,21.65680494,5.613768639,21.39601019,424.9336763,398.7811758,0.037959481,63.36,5.537420288,11.89298664,18.36565091,0.007224517,93.30333822,0,0,1,0,48310,1999.994333,1681.19228,0.840598522,0.160755147,6,0.5,0: Broadleaf,2,TRUE,1663772956,391.2946667,419.9150333,18.33824333,11.72612667,388.1884,18.13423333,500.0657667,90.71141333,0.099881523,24.90370333,25.13757333,999.9,0,0,10003.83033,0,8.251528,-28.6204,398.6043667,424.8974667,6.612129333,419.9150333,11.72612667,1.663489,1.063693,14.55985,7.818601667,1999.994333,0.9799984,0.020001853,0,900.8614,5.00056,17939.77,17294.82,37.687,38.312,37.3708,37.28926667,38.479,1955.093,39.90133333,0,1663772970,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-28.700915,1.291886679,0.134654661,0,6.67651125,-1.187310507,0.117817117,0,0,2,0/2,2.97992,2.72786,0.0815398,0.0869213,0.0893137,0.0659944,27533.1,27029.9,30504.2,29847.5,38325.1,36706.5,46647.5,44374.2,1.89032,1.88555,0.0917241,0,23.6277,999.9,56.7,26.7,21.9802,63.2395,23.4054,1,-0.0602541,2.31056,20.228,5.22732,11.968,4.9708,3.2895,9999,9999,9999,367.6,4.97265,1.87669,1.87478,1.87759,1.87439,1.87804,1.87512,1.87621,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.107,0.2046,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31653.5,31653.5,1.09497,2.51221,1.39893,2.34619,1.44897,2.38281,32.6869,15.6556,18,495.54,464.633,21.5619,26.1515,30.0005,25.9931,26.0703,21.9704,45.8149,64.4135,21.4324,419.961,12.1743,100.823,102.047,6
2,1663772969,5,9/21/22 10:09,10:09:28,5,albert,a_y_140_91,1663772961,0.005463591,5.463591397,21.67639805,391.3769731,272.7256795,24.76656974,35.54144633,0.334966008,2.76139354,0.313919007,0.197980065,321.5085831,25.39171656,25.1335,3.2050733,52.77327776,1.666949193,3.158699371,1.538124107,-240.9443806,-36.396698,-2.788322329,41.37918222,21.53388211,5.511952311,21.67639805,425.0691533,398.7669455,-0.004174753,63.36,5.463591397,12.02897891,18.40560061,0.008553459,93.30333822,0,0,1,0,48350,1999.98931,1681.188062,0.840598524,0.160755151,6,0.5,0: Broadleaf,2,TRUE,1663772961,391.377,419.8037586,18.35618966,11.86385517,388.2704828,18.15183793,500.0457586,90.7114069,0.099879328,24.88901724,25.1335,999.9,0,0,9999.65,0,8.269802069,-28.42676552,398.6955862,424.8440345,6.492344483,419.8037586,11.86385517,1.665116897,1.076186207,14.57498276,7.98989931,1999.98931,0.979998345,0.02000191,0,897.4466552,5.00056,17872.40345,17294.77931,37.687,38.312,37.37065517,37.29917241,38.4847931,1955.087931,39.90137931,0,1663772976,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-28.54413902,1.794374216,0.234993988,0,6.565869756,-1.477927735,0.147086454,0,0,2,0/2,2.98017,2.72838,0.0815207,0.0865704,0.0894495,0.0665103,27533.6,27040,30504.2,29847,38319.3,36685.7,46647.5,44373.9,1.89048,1.88547,0.0909865,0,23.6264,999.9,56.6,26.7,21.9421,63.5495,23.5136,1,-0.0597154,2.37981,20.2269,5.22687,11.968,4.97085,3.2895,9999,9999,9999,367.6,4.97266,1.8767,1.87476,1.87758,1.87437,1.87802,1.87511,1.87619,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.107,0.2054,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31653.6,31653.6,1.07178,2.51709,1.39893,2.34497,1.44897,2.35596,32.6869,15.6468,18,495.622,464.597,21.4209,26.1515,30.0007,25.9931,26.0716,21.4423,45.5113,64.0291,21.3096,399.915,12.2681,100.823,102.046,6
3,1663772974,10,9/21/22 10:09,10:09:33,5,albert,a_y_140_91,1663772966,0.00534869,5.348690111,21.3965777,391.0338663,271.8141065,24.68376922,35.51026045,0.328458746,2.762077358,0.308199695,0.194340787,321.5051414,25.4046547,25.12353571,3.203171692,52.9112299,1.669458455,3.155206292,1.533713237,-235.8772339,-37.68304689,-2.885739727,45.05912089,19.7720202,5.41020207,21.3965777,418.4627749,395.8769212,-0.732848831,63.36,5.348690111,12.14032981,18.42444667,0.002256141,93.30333822,0,0,1,0,48286,1999.967857,1681.170032,0.840598526,0.160755154,6,0.5,0: Broadleaf,2,TRUE,1663772966,391.0338929,417.2963214,18.38383571,12.01159643,387.9283214,18.17896429,500.0510714,90.71132143,0.099893429,24.870475,25.12353571,999.9,0,0,10003.70143,0,8.295982143,-26.26249643,398.35725,422.3693571,6.3722475,417.2963214,12.01159643,1.667622857,1.089587857,14.59826786,8.172196429,1999.967857,0.979998286,0.020001971,0,894.0528214,5.00056,17805.63929,17294.59643,37.687,38.312,37.3705,37.2965,38.48875,1955.066786,39.90107143,0,1663772980,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-26.91243,23.63514146,2.938042663,0,6.43751825,-1.390864503,0.135769908,0,0,2,0/2,2.98016,2.72847,0.0809762,0.0846458,0.0895157,0.0669261,27550.2,27097,30504.5,29847.1,38316.9,36668.8,46648.1,44373.6,1.89032,1.88563,0.0900477,0,23.6244,999.9,56.5,26.7,21.9018,63.2595,23.6098,1,-0.0598323,2.41688,20.2267,5.22747,11.968,4.97075,3.2895,9999,9999,9999,367.6,4.9727,1.8767,1.87473,1.87759,1.87439,1.87804,1.8751,1.8762,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.097,0.2057,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31653.7,31653.7,1.04126,2.52075,1.39893,2.34497,1.44897,2.34741,32.6869,15.6468,18,495.54,464.693,21.2944,26.152,30.0003,25.9931,26.0716,20.8385,44.9468,64.0291,21.1973,386.555,12.3712,100.824,102.046,6
4,1663772979,15,9/21/22 10:09,10:09:38,5,albert,a_y_140_91,1663772971,0.005255866,5.25586606,20.87522178,388.5334556,270.5178296,24.56618625,35.28338686,0.323500476,2.762108809,0.30382901,0.191560772,321.5025249,25.40823296,25.11158889,3.200893031,53.06476341,1.672111277,3.151076477,1.528781753,-231.7836933,-39.1723674,-2.999244943,47.5472193,15.6793018,5.324539497,20.87522178,404.0264848,387.2794485,-1.855635152,63.36,5.25586606,12.25329285,18.43923636,0.000613772,93.30333822,0,0,1,0,48379,1999.951852,1681.156555,0.840598514,0.160755132,6,0.5,0: Broadleaf,2,TRUE,1663772971,388.5334815,409.8290741,18.41294815,12.14176296,385.4349259,18.20753333,500.0489259,90.71174074,0.099967626,24.84852963,25.11158889,999.9,0,0,10003.84111,0,8.304078889,-21.29555556,395.8218148,414.8653704,6.271185556,409.8290741,12.14176296,1.670271111,1.101400741,14.62284444,8.331179259,1999.951852,0.979998556,0.020001693,0,890.6185556,5.00056,17736.7963,17294.45926,37.687,38.312,37.375,37.30051852,38.49066667,1955.051852,39.9,0,1663772985,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-23.3051325,57.95817298,6.006833178,0,6.32479475,-1.141471632,0.110352934,0,0,2,0/2,2.98009,2.7284,0.0795332,0.0821651,0.0895675,0.0674304,27592.7,27170.5,30503.7,29847.1,38313.6,36648.7,46646.9,44373.7,1.89013,1.88557,0.090003,0,23.6202,999.9,56.5,26.7,21.9025,63.4495,23.8502,1,-0.0594995,2.43778,20.2265,5.22792,11.968,4.97085,3.28965,9999,9999,9999,367.6,4.9727,1.87668,1.87472,1.87758,1.87438,1.87802,1.8751,1.87619,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.072,0.206,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31653.8,31653.8,1.00586,2.52441,1.39893,2.34497,1.44897,2.37061,32.6869,15.6381,18,495.43,464.661,21.1799,26.1537,30.0003,25.9931,26.0716,20.1119,44.6098,63.6432,21.0952,366.516,12.469,100.822,102.046,6
5,1663772984,20,9/21/22 10:09,10:09:43,5,albert,a_y_140_91,1663772976,0.005181114,5.181113672,20.23689233,382.7574035,266.9227601,24.23967723,34.75880407,0.319357622,2.76216219,0.300171083,0.189234629,321.505385,25.40625341,25.10308571,3.199272052,53.1922324,1.6738721,3.146835589,1.525399952,-228.4871129,-41.26664212,-3.159038713,48.59259126,10.71637023,5.253003118,20.23689233,388.0541615,375.1030606,-2.507072035,63.36,5.181113672,12.35215168,18.45168727,0.000350473,93.30333822,0,0,1,0,48363,1999.969643,1681.17151,0.840598514,0.160755133,6,0.5,0: Broadleaf,2,TRUE,1663772976,382.7574286,398.0281071,18.43236429,12.24564643,379.675,18.22659286,500.0562143,90.71157143,0.100007271,24.82596786,25.10308571,999.9,0,0,10004.17536,0,8.311251429,-15.27062786,389.9450357,402.9613214,6.186711429,398.0281071,12.24564643,1.672029286,1.110822857,14.63914286,8.456777143,1999.969643,0.979998714,0.020001529,0,887.0395,5.00056,17665.78571,17294.60357,37.687,38.312,37.375,37.29871429,38.491,1955.069286,39.90035714,0,1663772991,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-19.4662405,76.0014797,7.42291058,0,6.24929975,-1.088206717,0.104897372,0,0,2,0/2,2.98008,2.72813,0.0775283,0.0795032,0.0896059,0.0678714,27653.5,27249.1,30504.5,29846.9,38312.9,36630.3,46648.2,44372.9,1.89005,1.88585,0.0906363,0,23.6137,999.9,56.4,26.7,21.8637,63.3995,23.9984,1,-0.0596799,2.44996,20.2263,5.22807,11.968,4.97025,3.28965,9999,9999,9999,367.6,4.97264,1.87668,1.8747,1.87757,1.87434,1.87799,1.87505,1.87613,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.039,0.2061,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31653.9,31653.9,0.9729,2.52075,1.39893,2.34497,1.44897,2.40112,32.7091,15.6468,18,495.403,464.848,21.077,26.1537,30,25.9952,26.0731,19.4478,44.3371,63.2614,21.0006,353.158,12.566,100.825,102.045,6
6,1663772989,25,9/21/22 10:09,10:09:48,5,albert,a_y_140_91,1663772981,0.005094188,5.094187969,19.49825211,372.3531611,259.0911498,23.52851157,33.81402903,0.314223187,2.763562411,0.295638176,0.18635198,321.5153572,25.40403342,25.09619259,3.197958529,53.31536535,1.675152241,3.141968981,1.522806287,-224.6536894,-44.12286877,-3.37541924,49.36337981,5.851283144,5.16942624,19.49825211,371.3603715,360.9677455,-2.865482597,63.36,5.094187969,12.46074839,18.45912545,0.000174632,93.30333822,0,0,1,0,48447,2000.031852,1681.223789,0.840598507,0.160755118,6,0.5,0: Broadleaf,2,TRUE,1663772981,372.3531852,381.6835926,18.44643333,12.35817407,369.299963,18.24039259,500.0511852,90.71179259,0.099922111,24.80004444,25.09619259,999.9,0,0,10012.43074,0,8.321648889,-9.330346667,379.3508889,386.4583704,6.088249259,381.6835926,12.35817407,1.673308889,1.121032963,14.65100741,8.59191,2000.031852,0.979999222,0.020001004,0,882.0105926,5.00056,17566.56296,17295.14815,37.687,38.312,37.375,37.30051852,38.493,1955.130741,39.90111111,0,1663772995,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-12.7692965,66.912634,6.585240655,0,6.13987475,-1.118116435,0.107856095,0,0,2,0/2,2.98022,2.7286,0.0751933,0.0767527,0.0896212,0.0681404,27723,27330.4,30503.9,29846.8,38311.5,36619.6,46647.5,44373,1.89007,1.8856,0.0893697,0,23.6057,999.9,56.3,26.7,21.825,63.4995,24.0224,1,-0.0595122,2.47554,20.2263,5.22822,11.968,4.97035,3.28965,9999,9999,9999,367.6,4.97265,1.87668,1.8747,1.87758,1.87438,1.87804,1.87507,1.87616,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.998,0.2062,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31654,31654,0.936279,2.52075,1.39893,2.34497,1.44897,2.45728,32.7091,15.6468,18,495.418,464.695,20.9845,26.1541,30.0003,25.9953,26.0738,18.7027,43.7193,63.2614,20.9072,333.122,12.6792,100.823,102.045,6
7,1663772994,30,9/21/22 10:09,10:09:53,5,albert,a_y_140_91,1663772986,0.005012747,5.012747132,18.59417942,360.2942983,250.7655781,22.77224017,32.71863848,0.309601453,2.763486553,0.291541809,0.183748369,321.5149091,25.40295088,25.08223929,3.195301088,53.41032997,1.675782595,3.137562708,1.519518493,-221.0621485,-45.54420902,-3.48359114,51.42496041,3.1848191,5.095649468,18.59417942,354.6998188,346.0291636,-3.000129351,63.36,5.012747132,12.55113706,18.45513818,-5.24E-05,93.30333822,0,0,1,0,48228,2000.028929,1681.221343,0.840598513,0.160755129,6,0.5,0: Broadleaf,2,TRUE,1663772986,360.2943214,366.3185714,18.45354643,12.45225714,357.2751071,18.24736786,500.0542143,90.71095714,0.099912289,24.77654286,25.08223929,999.9,0,0,10012.07429,0,8.329720714,-6.0242175,367.0681071,370.9364286,6.001291071,366.3185714,12.45225714,1.673938571,1.129556429,14.65684286,8.703823571,2000.028929,0.97999925,0.020000975,0,876.2544286,5.00056,17453.50714,17295.11786,37.687,38.312,37.375,37.28985714,38.4955,1955.1275,39.90142857,0,1663773000,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-8.68947878,46.34392871,4.70163715,0,6.061403659,-1.109351289,0.109860886,0,0,2,0/2,2.98011,2.72835,0.0726953,0.07394,0.0896129,0.0686363,27797.9,27414,30503.9,29847.2,38311.6,36600.3,46647.4,44373.7,1.88983,1.88555,0.0884309,0,23.5957,999.9,56.3,26.7,21.825,63.3595,23.9022,1,-0.0594817,2.50125,20.2256,5.22553,11.968,4.96965,3.2892,9999,9999,9999,367.6,4.97265,1.8767,1.87475,1.87759,1.87438,1.87803,1.8751,1.87616,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.956,0.2062,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31654,31654,0.9021,2.51587,1.39893,2.34497,1.44897,2.46948,32.7313,15.6556,18,495.281,464.663,20.8944,26.1559,30.0002,25.9953,26.0738,18.0281,43.7193,62.8703,20.8474,319.764,12.6278,100.823,102.046,6
8,1663772999,35,9/21/22 10:09,10:09:58,5,albert,a_y_140_91,1663772991,0.004951112,4.951112251,17.65706374,345.3791263,240.3239697,21.82402917,31.36417952,0.306285049,2.762886853,0.288594775,0.181875933,321.5137021,25.39452495,25.0660963,3.192229026,53.50010327,1.67604379,3.132786084,1.516185236,-218.3440503,-46.92949666,-3.589575509,52.65057969,1.177060918,5.019882853,17.65706374,337.9413497,330.7194364,-3.067083983,63.36,4.951112251,12.62203795,18.45303091,-2.06E-05,93.30333822,0,0,1,0,48369,2000.021481,1681.215077,0.84059851,0.160755124,6,0.5,0: Broadleaf,2,TRUE,1663772991,345.3791481,348.8716296,18.45642222,12.5446,342.4022963,18.25019259,500.0725926,90.71085926,0.100012422,24.75103333,25.0660963,999.9,0,0,10008.53852,0,8.325173333,-3.492446296,351.8735926,353.3027778,5.911822593,348.8716296,12.5446,1.674197037,1.137931852,14.65924074,8.813182222,2000.021481,0.979999444,0.020000774,0,869.0685556,5.00056,17313.07407,17295.05926,37.687,38.312,37.375,37.27985185,38.49766667,1955.12037,39.90111111,0,1663773006,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-5.347165854,30.17854286,3.040136073,0,5.971461707,-1.043248014,0.103895243,0,0,2,0/2,2.98022,2.72829,0.0700974,0.0711002,0.0895918,0.0686485,27876,27497.9,30504.2,29847,38312.8,36599.2,46648,44373.3,1.88978,1.88547,0.0890642,0,23.585,999.9,56.2,26.7,21.7891,62.8595,23.6458,1,-0.059624,2.43704,20.2266,5.22613,11.968,4.96985,3.2893,9999,9999,9999,367.6,4.97265,1.87668,1.87471,1.87758,1.87438,1.87802,1.87507,1.87616,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.913,0.2061,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31654.1,31654.1,0.864258,2.51465,1.39893,2.34497,1.44897,2.46338,32.7313,15.6556,18,495.253,464.615,20.8278,26.1564,30.0001,25.9953,26.0738,17.2665,43.7193,62.8703,20.7997,299.708,12.694,100.824,102.045,6
9,1663773004,40,9/21/22 10:10,10:10:03,5,albert,a_y_140_91,1663772996,0.004870798,4.870797791,16.65383705,331.4205865,230.7876794,20.95808091,30.09666497,0.301368941,2.76203203,0.284219952,0.179096868,321.511256,25.39371654,25.053425,3.189819446,53.54819881,1.67523857,3.128468572,1.514580875,-214.8021826,-48.46593049,-3.707575079,54.53556788,-0.112578694,4.97130577,16.65383705,321.1327208,315.2690061,-3.097025108,63.36,4.870797791,12.61720822,18.41122545,-0.008431041,93.30333822,0,0,1,0,48324,2000.006429,1681.20241,0.840598503,0.160755111,6,0.5,0: Broadleaf,2,TRUE,1663772996,331.4206071,333.2623214,18.44751071,12.59295714,328.4838214,18.24145,500.0822857,90.71106786,0.100022939,24.72794643,25.053425,999.9,0,0,10003.46143,0,8.320855714,-1.841643357,337.6496071,337.5121071,5.854555714,333.2623214,12.59295714,1.6733925,1.142320714,14.65178571,8.870271786,2000.006429,0.979999679,0.020000532,0,862.5060714,5.00056,17183.625,17294.93571,37.687,38.312,37.375,37.28321429,38.4865,1955.106071,39.90035714,0,1663773010,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-2.75993335,21.1028221,2.040844198,0,5.89010175,-0.758287092,0.076490205,0,0,2,0/2,2.98011,2.7284,0.0674225,0.0681114,0.0894493,0.0686714,27956.2,27586.1,30504.2,29846.7,38318.6,36598,46647.9,44373.2,1.89002,1.8855,0.0895858,0,23.5739,999.9,56.1,26.7,21.7472,63.2295,23.4495,1,-0.0596799,2.39927,20.2274,5.22792,11.968,4.9699,3.28953,9999,9999,9999,367.6,4.97267,1.87668,1.87471,1.87759,1.87439,1.87803,1.87508,1.87614,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.868,0.2053,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31654.2,31654.2,0.828857,2.51587,1.39893,2.34497,1.44897,2.42554,32.7313,15.6556,18,495.402,464.631,20.7811,26.1581,30,25.9969,26.0738,16.5818,43.4379,62.4829,20.7482,286.139,12.7881,100.824,102.045,6
10,1663773009,45,9/21/22 10:10,10:10:08,5,albert,a_y_140_91,1663773001,0.004785265,4.785264662,15.73943633,315.4867952,218.7192921,19.86226939,28.64989025,0.295654284,2.760909524,0.279124043,0.175860641,321.5084951,25.39204869,25.04462963,3.188147848,53.5565571,1.67295354,3.123713754,1.515194308,-211.0301716,-50.92633347,-3.896704294,55.65528578,-1.36844047,4.915047222,15.73943633,304.2473299,299.6442242,-3.129117576,63.36,4.785264662,12.6568206,18.36370909,-0.010388502,93.30333822,0,0,1,0,48225,1999.989259,1681.187977,0.840598503,0.160755111,6,0.5,0: Broadleaf,2,TRUE,1663773001,315.4868148,315.7054074,18.42222593,12.63382963,312.5964074,18.21664444,500.0868148,90.71165185,0.10004197,24.70248889,25.04462963,999.9,0,0,9996.762593,0,8.315213704,-0.218513148,321.4082963,319.7447037,5.788388889,315.7054074,12.63382963,1.67111,1.146035926,14.63061852,8.918392222,1999.989259,0.979999778,0.02000043,0,855.4146667,5.00056,17043.53704,17294.7963,37.687,38.312,37.375,37.29362963,38.48366667,1955.089259,39.9,0,1663773015,0,0,--:--:--,1661873751,1661873751,0,0.029,-0.002,3.563,0.179,420,18,0.32,0.09,-1.387601475,18.82574788,1.814282878,0,5.837064,-0.695091782,0.070584869,0,0,2,0/2,2.98014,2.72815,0.064665,0.0651111,0.0892908,0.0690761,28039.3,27674.8,30504.7,29846.5,38325.8,36581.5,46648.6,44372.9,1.8899,1.8855,0.0890344,0,23.564,999.9,56,26.7,21.7091,63.1795,23.4696,1,-0.0597231,2.3982,20.2276,5.22642,11.968,4.96945,3.28938,9999,9999,9999,367.6,4.97267,1.87668,1.87479,1.87759,1.87439,1.87805,1.87513,1.87621,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.823,0.2045,1.845911212,0.003780324,-1.52E-06,3.74E-10,-0.019478102,0.005352211,0.000400068,-8.59E-07,0,2134,1,23,31654.3,31654.3,0.789795,2.52808,1.39893,2.34497,1.44897,2.37061,32.7313,15.6468,18,495.337,464.647,20.7355,26.1591,30,25.9975,26.0758,15.8002,42.8854,62.4829,20.7127,265.85,12.8917,100.825,102.044,6
