obs,Comments,time..2,elapsed,date,hhmmss,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccCO2_soda,CO2_hrs,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
1,NA,1664293030,0,9/27/22 10:37,10:37:10,5,a_y_350_101,ozzie,1664293022,0.003540889,3.540888657,18.50544943,395.7761706,242.6913094,22.10828574,36.05375359,0.212712202,2.766817217,0.20402681,0.128267553,321.5121783,25.86045709,25.86045709,3.346496731,57.51101395,1.81026641,3.14768648,1.536230321,-156.1531898,-153.6336702,-11.78628158,-0.060963261,18.66050866,3.591115051,18.50544943,426.5128512,403.9221152,0.007896279,65.09214721,3.540888657,15.70757014,19.87085245,1.43E-05,127.013379,4,1,1,0,48426,2000.00871,1681.204616,0.840598647,0.160755389,6,0.5,0: Broadleaf,2,TRUE,1664293022,395.7761935,419.8672903,19.87200323,15.64953548,389.6354839,19.58366129,500.1462581,90.99634516,0.099977132,24.83049677,25.12590968,999.9,0,0,10000.32258,0,11.24993871,-24.09097419,403.8005806,426.5423871,4.222467419,419.8672903,15.64953548,1.808279355,1.424049032,15.85854839,12.17605484,2000.00871,0.979995968,0.020003968,0,949.9309355,5.00063,18564.3,17256.94516,37.312,37.312,36.812,36.625,38.187,1955.09871,39.91,0,1664293017,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-24.14491,1.375895685,0.158214405,0,4.2662655,-0.931302664,0.090568718,0,0,2,0/2,2.97415,2.75361,0.0871422,0.0924127,0.0913018,0.0781822,35651,38655.8,35387,38623.5,45575,51407,55286.4,61930.4,1.9902,1.8404,0.106096,0,23.3439,999.9,57.759,29.9,26.889,60.6293,49.4151,1,-0.116382,2.29573,20.0986,5.19812,12.0052,4.9752,3.293,9999,9999,712,9999,1.86313,1.86798,1.86768,1.8689,1.86975,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.142,0.2883,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.4,7174.3,1.03394,2.58789,1.54785,2.2998,1.34644,2.37061,33.6254,24.105,18,494.965,400.708,20.302,25.6906,30,25.6647,25.6097,20.7342,44.9868,80.1559,20.2286,413.14,15.9061,102.579,103.097,7
2,NA,1664293035,5,9/27/22 10:37,10:37:15,5,a_y_350_101,ozzie,1664293027,0.003478719,3.478719165,18.58500671,395.847391,239.6932526,21.83531691,36.06047786,0.208981362,2.767299332,0.200592909,0.126096181,321.5133749,25.85507461,25.85507461,3.345429909,57.58926557,1.810316305,3.14349608,1.535113603,-153.4115152,-156.1864673,-11.9783695,-0.062977047,18.24439695,3.523042667,18.58500671,425.872155,403.662103,-0.092734955,65.09214721,3.478719165,15.78504709,19.87423776,0.000150725,127.013379,4,1,1,0,48847,2000.016207,1681.210913,0.840598645,0.160755385,6,0.5,0: Broadleaf,2,TRUE,1664293027,395.8474138,419.409,19.87242069,15.72969655,389.7063103,19.58406552,500.1102414,90.99693793,0.099981448,24.80818276,25.11627241,999.9,0,0,10003.10345,0,11.2535,-23.56149655,403.8734138,426.1115172,4.142726897,419.409,15.72969655,1.808329655,1.431353448,15.85897931,12.25381034,2000.016207,0.979996241,0.020003676,0,943.4933448,5.00063,18439.16207,17257.01379,37.30772414,37.312,36.812,36.625,38.187,1955.106207,39.91,0,1664293022,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-23.838555,4.768804503,0.745253988,0,4.1893355,-0.90252878,0.088225128,0,0,2,0/2,2.97349,2.75405,0.0870688,0.0914625,0.0913441,0.0785618,35654,38695.8,35387.2,38623,45574,51385.3,55287.8,61929.8,1.9906,1.8404,0.106096,0,23.3321,999.9,57.691,29.9,26.8568,60.3093,49.7676,1,-0.116301,2.3188,20.0986,5.20172,12.0064,4.976,3.2932,9999,9999,712,9999,1.86319,1.86798,1.86777,1.86893,1.86981,1.86584,1.86688,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.139,0.2889,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.4,7174.4,1.00952,2.59399,1.54785,2.2998,1.34644,2.28027,33.6254,24.0963,18,495.225,400.708,20.1863,25.6884,30.0001,25.6647,25.6097,20.1842,44.7105,79.7635,20.1356,399.602,15.9785,102.581,103.096,7
3,NA,1664293040,10,9/27/22 10:37,10:37:20,5,a_y_350_101,ozzie,1664293032,0.003401344,3.401343564,18.12826724,395.0396919,239.3242307,21.80168185,35.98686875,0.204271102,2.765650396,0.196244138,0.123347495,321.5089073,25.85221447,25.85221447,3.344863142,57.68430125,1.810632065,3.138864519,1.534231076,-149.9992512,-159.3487891,-12.22649059,-0.065623595,15.35801022,3.458667856,18.12826724,414.0311833,398.3368061,-1.339443932,65.09214721,3.401343564,15.88368289,19.88312867,2.43E-05,127.013379,4,1,1,0,48550,1999.988214,1681.1874,0.840598653,0.160755401,6,0.5,0: Broadleaf,2,TRUE,1664293032,395.0397143,415.1049643,19.87590357,15.80879286,388.9032143,19.58741786,500.0980714,90.99674286,0.100100043,24.78348929,25.09860357,999.9,0,0,9993.392857,0,11.2535,-20.06510571,403.05075,421.7721429,4.067110357,415.1049643,15.80879286,1.808642857,1.438548214,15.86168571,12.33002143,1999.988214,0.979995964,0.020003971,0,937.3966429,5.00063,18320.90357,17256.77857,37.29871429,37.312,36.812,36.6205,38.18257143,1955.078214,39.91,0,1664293027,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-21.2256039,37.49260139,4.556619893,0,4.106158537,-0.91065784,0.090921372,0,0,2,0/2,2.97345,2.75389,0.0860371,0.0887913,0.0913444,0.0787973,35694.4,38808.8,35387.3,38622.3,45573.1,51371.4,55286.8,61929.1,1.99,1.8404,0.10699,0,23.3172,999.9,57.618,29.9,26.8204,60.7093,49.7756,1,-0.116463,2.31874,20.0987,5.20172,12.0052,4.976,3.2932,9999,9999,712,9999,1.86319,1.86798,1.86774,1.8689,1.86978,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.105,0.2889,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.5,7174.5,0.977783,2.59277,1.54785,2.2998,1.34644,2.43042,33.6029,24.105,18,494.835,400.708,20.0939,25.6884,29.9999,25.6647,25.6097,19.5959,44.429,79.7635,20.0552,379.396,16.0478,102.58,103.094,7
4,NA,1664293045,15,9/27/22 10:37,10:37:25,5,a_y_350_101,ozzie,1664293038,0.003343057,3.343056518,17.50149431,391.1442746,238.3638761,21.71436945,35.63229222,0.201000638,2.767191688,0.193227536,0.121440546,321.51333,25.84096636,25.84096636,3.342635023,57.79230742,1.811126273,3.133853543,1.53150875,-147.4287924,-161.7505761,-12.40149317,-0.067531649,10.29718086,3.393500765,17.50149431,397.6236298,387.3715394,-2.317977568,65.09214721,3.343056518,15.95364996,19.88322238,0.000167246,127.013379,5,1,1,0,48440,2000.015926,1681.210677,0.840598645,0.160755385,6,0.5,0: Broadleaf,2,TRUE,1664293038,391.1442963,405.091,19.88117037,15.89071111,385.0303333,19.59247778,500.0979259,90.99748889,0.100079289,24.75673704,25.09019259,999.9,0,0,10002.40741,0,11.2535,-13.94662926,399.0784444,411.6312963,3.990457037,405.091,15.89071111,1.809137407,1.446015556,15.86595926,12.40884074,2000.015926,0.979996,0.020003933,0,931.1402963,5.00063,18201.17407,17257.02963,37.29133333,37.312,36.812,36.62033333,38.16633333,1955.105926,39.91,0,1664293032,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-17.84970537,65.7681253,6.96252956,0,4.050191951,-0.920063624,0.091746282,0,0,2,0/2,2.97484,2.75441,0.084111,0.0859505,0.0913477,0.0789493,35769.9,38929.9,35387.5,38622.4,45573.1,51362.8,55286.9,61929,1.99,1.841,0.108182,0,23.3015,999.9,57.569,29.9,26.7985,60.3593,49.5673,1,-0.117073,2.28972,20.0991,5.19932,12.004,4.9756,3.2936,9999,9999,712,9999,1.86325,1.86798,1.86774,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.041,0.2888,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.6,7174.6,0.946045,2.59521,1.54785,2.2998,1.34644,2.43408,33.6254,24.105,18,494.815,401.022,20.0156,25.6863,29.9999,25.6626,25.6076,18.9019,44.1282,79.3793,19.9621,365.861,16.1191,102.58,103.095,7
5,NA,1664293050,20,9/27/22 10:37,10:37:30,5,a_y_350_101,ozzie,1664293042,0.003297498,3.297497675,16.86977722,383.5711933,234.4466106,21.35787643,34.94299248,0.198465012,2.766813191,0.190881815,0.119958313,321.5154053,25.83023829,25.83023829,3.340511128,57.87764791,1.81126592,3.12947396,1.529245208,-145.4196475,-163.6204493,-12.54442054,-0.069112049,5.04339595,3.338651322,16.86977722,380.9791384,373.761697,-2.791188733,65.09214721,3.297497675,15.9990095,19.87655105,-9.30E-05,127.013379,4,1,1,0,48305,2000.028929,1681.2216,0.840598641,0.160755377,6,0.5,0: Broadleaf,2,TRUE,1664293042,383.5712143,391.15675,19.88236786,15.95733571,377.5011786,19.59362857,500.2156786,90.99906429,0.100040871,24.733325,25.085,999.9,0,0,10000,0,11.2535,-7.585448786,391.35225,397.4988929,3.925028929,391.15675,15.95733571,1.809277143,1.452103214,15.86716429,12.47284286,2000.028929,0.979996071,0.020003857,0,925.0628214,5.00063,18083.15,17257.15357,37.27657143,37.312,36.80092857,36.6205,38.15378571,1955.118929,39.91,0,1664293037,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-11.58462405,81.5541947,8.182715669,0,3.965232927,-0.836553868,0.084228567,0,0,2,0/2,2.97326,2.75314,0.0817193,0.0830712,0.0913201,0.0792684,35863.3,39052.8,35387.6,38622.8,45574.3,51345.5,55286.8,61929.8,1.9902,1.841,0.109524,0,23.2878,999.9,57.496,29.9,26.7671,60.4893,50.2003,1,-0.117073,2.35902,20.0986,5.19932,12.004,4.9752,3.293,9999,9999,712,9999,1.86319,1.86798,1.86771,1.86893,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.962,0.2886,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.7,7174.6,0.911865,2.60376,1.54785,2.2998,1.34644,2.27783,33.6254,24.0963,18,494.945,401.022,19.9294,25.6863,29.9999,25.6626,25.6076,18.2787,43.8488,79.0057,19.8831,345.766,16.1997,102.58,103.096,7
6,NA,1664293055,25,9/27/22 10:37,10:37:35,5,a_y_350_101,ozzie,1664293048,0.003218355,3.218355415,16.01603721,371.2444247,226.3264195,20.61831557,33.82033223,0.193667166,2.768335203,0.186442814,0.117153385,321.5169358,25.82446156,25.82446156,3.339367963,57.97101567,1.811266216,3.124434159,1.528101747,-141.9294738,-166.8744988,-12.78476303,-0.071799741,0.907046061,3.275789072,16.01603721,363.9715868,358.8378182,-3.009337644,65.09214721,3.218355415,16.09854705,19.88235105,-2.02E-05,127.013379,4,1,1,0,48584,2000.038519,1681.229655,0.840598638,0.160755372,6,0.5,0: Broadleaf,2,TRUE,1664293048,371.2444444,373.7911481,19.8821963,16.03105926,365.246,19.59345926,500.2147407,90.99994815,0.099957956,24.70634815,25.08902222,999.9,0,0,10008.88889,0,11.2535,-2.546648826,378.7754074,379.8801481,3.851134444,373.7911481,16.03105926,1.809278889,1.458826296,15.86717778,12.54318889,2000.038519,0.979996,0.020003933,0,917.1368148,5.00063,17929.08519,17257.22222,37.26837037,37.312,36.78674074,36.625,38.14107407,1955.128519,39.91,0,1664293042,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-6.95492291,64.71000307,6.648268696,0,3.90424,-0.829479512,0.083230763,0,0,2,0/2,2.97437,2.75425,0.0790827,0.0800221,0.0913311,0.0795426,35965.9,39183.1,35387.3,38623.2,45573,51330.3,55286,61930.1,1.9912,1.8418,0.11012,0,23.2721,999.9,57.447,29.9,26.7436,59.9293,50.2043,1,-0.117033,2.37686,20.0981,5.20172,12.0052,4.976,3.2934,9999,9999,712,9999,1.86319,1.86798,1.8678,1.86893,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.877,0.2887,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.8,7174.7,0.878906,2.60254,1.54785,2.2998,1.34644,2.34253,33.6029,24.0963,18,495.596,401.461,19.852,25.6863,30,25.6626,25.6076,17.5743,43.5605,78.6136,19.7901,332.362,16.269,102.579,103.096,7
7,NA,1664293060,30,9/27/22 10:37,10:37:40,5,a_y_350_101,ozzie,1664293052,0.003130765,3.130765035,15.37514373,358.1549452,215.2701946,19.61107886,32.62785583,0.188099892,2.765888749,0.181271251,0.113887405,321.5109023,25.82777802,25.82777802,3.34002422,58.04097555,1.811107309,3.120394329,1.528916911,-138.066738,-170.4501479,-13.06905185,-0.075035504,-1.130622411,3.205928843,15.37514373,347.2023927,343.3426061,-3.112471948,65.09214721,3.130765035,16.20689391,19.88847902,-0.000105433,127.013379,5,1,1,0,48359,2000.000714,1681.1979,0.84059865,0.160755394,6,0.5,0: Broadleaf,2,TRUE,1664293052,358.1549643,358.1760714,19.88046786,16.11147143,352.2324286,19.5918,500.217,90.99979286,0.100040529,24.68469643,25.08570357,999.9,0,0,9994.464286,0,11.2535,-0.021055296,365.4196786,364.0400714,3.768991071,358.1760714,16.11147143,1.8091175,1.466141071,15.86579286,12.61935714,2000.000714,0.979996071,0.020003857,0,908.7249643,5.00063,17765.65,17256.88929,37.25442857,37.312,36.77435714,36.62275,38.13607143,1955.090714,39.91,0,1664293048,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-2.505525308,38.245216,3.788767448,0,3.83262475,-0.991479962,0.097266224,0,0,2,0/2,2.97515,2.75387,0.0763166,0.0770756,0.0913616,0.0799057,36073.9,39307.9,35387.3,38622.5,45571.8,51309.8,55286.5,61929.9,1.9898,1.841,0.110865,0,23.2588,999.9,57.374,29.9,26.7073,60.0293,49.4511,1,-0.116829,2.45553,20.0969,5.20052,12.004,4.9756,3.2936,9999,9999,712,9999,1.86316,1.86798,1.86771,1.86893,1.86978,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.79,0.289,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.9,7174.8,0.844727,2.59399,1.54785,2.2998,1.34644,2.41089,33.6029,24.0963,18,494.666,401.022,19.7618,25.6841,30.0002,25.6604,25.6076,16.9385,43.5605,78.6136,19.7066,312.182,16.3391,102.58,103.096,7
8,NA,1664293065,35,9/27/22 10:37,10:37:45,5,a_y_350_101,ozzie,1664293058,0.003096694,3.096694398,14.31534423,342.6149081,208.29653,18.97551895,31.21173301,0.186460397,2.768153372,0.17975327,0.112928302,321.5042269,25.80951508,25.80951508,3.336411773,58.14172303,1.811354985,3.115413322,1.525056788,-136.5642229,-171.8532667,-13.16287624,-0.076138983,-2.682734732,3.137669028,14.31534423,330.617551,328.0042364,-3.103154362,65.09214721,3.096694398,16.24224781,19.88244406,0.000140268,127.013379,4,1,1,0,48176,1999.958889,1681.162766,0.840598662,0.160755418,6,0.5,0: Broadleaf,2,TRUE,1664293058,342.6149259,340.686,19.88345926,16.19377407,336.7824444,19.59467407,500.0884074,90.9986037,0.09998037,24.65796667,25.08408889,999.9,0,0,10007.96296,0,11.2535,1.928957322,349.5654444,346.2929259,3.689670741,340.686,16.19377407,1.809365926,1.473611852,15.86794444,12.69697407,1999.958889,0.979995889,0.020004052,0,898.652963,5.00063,17568.94815,17256.51852,37.25459259,37.312,36.76377778,36.62033333,38.12959259,1955.048889,39.91,0,1664293052,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,0.709628237,22.49820594,2.271373417,0,3.740762195,-0.953730314,0.096667923,0,0,2,0/2,2.97449,2.75406,0.0734593,0.073783,0.0913431,0.0800252,36185.6,39448.8,35387.5,38623.2,45573.3,51302.9,55287.3,61929.8,1.991,1.8412,0.111252,0,23.2427,999.9,57.325,29.9,26.686,60.3093,49.6795,1,-0.116707,2.48939,20.0965,5.20172,12.004,4.9756,3.2932,9999,9999,712,9999,1.86322,1.86798,1.86777,1.86893,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.701,0.2888,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7174.9,7174.9,0.810547,2.59033,1.54785,2.2998,1.34644,2.38159,33.6029,24.0963,18,495.447,401.117,19.6782,25.6841,30.0002,25.6604,25.6054,16.2114,43.0149,78.2319,19.6328,298.728,16.41,102.581,103.096,7
9,NA,1664293070,40,9/27/22 10:37,10:37:50,5,a_y_350_101,ozzie,1664293062,0.003044403,3.044402798,13.42897822,328.2767334,200.1439843,18.23282514,29.90553174,0.183321275,2.766409234,0.176829919,0.111082772,321.5019533,25.80454642,25.80454642,3.335429554,58.21054566,1.811330853,3.111688497,1.524098701,-134.2581634,-173.9887545,-13.33316893,-0.078133556,-3.806852327,3.083364251,13.42897822,313.1410478,311.9891333,-3.182701543,65.09214721,3.044402798,16.28184573,19.87411189,-0.001296193,127.013379,4,1,1,0,48457,1999.944643,1681.1508,0.840598666,0.160755426,6,0.5,0: Broadleaf,2,TRUE,1664293062,328.27675,324.9236429,19.88320357,16.25725357,322.5274286,19.59443571,500.0715,90.99849286,0.100049014,24.63795357,25.07711429,999.9,0,0,9997.678571,0,11.2535,3.353193214,334.9363929,330.2924643,3.625940714,324.9236429,16.25725357,1.809341071,1.479386786,15.86772857,12.75669286,1999.944643,0.979996071,0.020003857,0,889.4864643,5.00063,17391.16429,17256.4,37.25,37.312,36.75885714,36.60925,38.125,1955.034643,39.91,0,1664293057,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,2.204970432,19.19048556,1.928477355,0,3.681753415,-0.786257561,0.080685739,0,0,2,0/2,2.97427,2.75406,0.0704772,0.0707084,0.091316,0.0803812,36301.7,39579.5,35387.2,38623,45573.9,51282.9,55286.4,61929.8,1.9898,1.8414,0.111759,0,23.2294,999.9,57.276,29.9,26.6639,60.3793,50.1883,1,-0.11689,2.49806,20.0966,5.19932,12.0052,4.9756,3.293,9999,9999,712,9999,1.86316,1.86798,1.86777,1.8689,1.86981,1.86584,1.86688,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.61,0.2885,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7175,7175,0.778809,2.61353,1.54785,2.29858,1.34644,2.25342,33.6029,24.0963,18,494.665,401.226,19.6026,25.6841,30.0001,25.6604,25.6054,15.5705,42.7408,78.2319,19.5614,285.229,16.4907,102.579,103.096,7
10,NA,1664293075,45,9/27/22 10:37,10:37:55,5,a_y_350_101,ozzie,1664293068,0.00295791,2.957910045,12.6552302,311.9913548,187.8797652,17.1152786,28.42146918,0.17794513,2.767967396,0.171825405,0.107923177,321.5043452,25.80341472,25.80341472,3.335205872,58.29431632,1.811303119,3.107169332,1.523902753,-130.443833,-177.5454427,-13.59632944,-0.081260012,-4.855616811,3.02214988,12.6552302,296.2751148,296.0332303,-3.175691582,65.09214721,2.957910045,16.41337213,19.8868049,0.000546271,127.013379,5,1,1,0,48601,1999.95963,1681.163389,0.840598662,0.160755417,6,0.5,0: Broadleaf,2,TRUE,1664293068,311.9913704,307.2965926,19.88324074,16.32914815,306.3364074,19.59446667,500.0533333,90.99703704,0.099939693,24.61364444,25.06967037,999.9,0,0,10007.03704,0,11.23918889,4.694862963,318.3207037,312.3965926,3.554088889,307.2965926,16.32914815,1.809315556,1.485904074,15.8675037,12.82374444,1999.95963,0.979996222,0.020003696,0,879.6041111,5.00063,17199.60741,17256.51852,37.25,37.30740741,36.75,36.59,38.125,1955.04963,39.91,0,1664293062,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,3.65470422,16.38912955,1.658990321,0,3.60408,-0.856389826,0.08818572,0,0,2,0/2,2.9755,2.7542,0.0674758,0.0675387,0.0913438,0.0805637,36419.3,39714.7,35387.6,38623.3,45572.7,51273.1,55286.8,61930.3,1.9904,1.8414,0.11158,0,23.2158,999.9,57.203,29.89,26.6135,60.0593,49.4712,1,-0.117073,2.51926,20.0965,5.20291,12.0052,4.976,3.2934,9999,9999,712,9999,1.8631,1.86798,1.86777,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.519,0.2888,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7175.1,7175.1,0.743408,2.59521,1.54785,2.2998,1.34644,2.43774,33.6029,24.105,18,495.036,401.227,19.5329,25.6819,29.9999,25.6583,25.6054,14.8572,42.4463,77.8386,19.5,265.005,16.5574,102.58,103.097,7
