obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..52,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..78,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..86,Duration,Fo..88,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..105,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..156,hhmmss..157,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
1,1659628325,0,8/4/22 10:52,10:52:05,5,albert,e_y_105_14,1659628317,0.004957462,4.957461645,19.63173269,394.0784419,277.3492674,25.11482429,35.685008,0.307320187,2.756710054,0.289476456,0.182439577,321.509039,29.48071467,28.94106,4.008076524,63.07152325,2.513139845,3.984587204,1.494936679,-218.6240585,-15.08391407,-1.203321605,86.59774474,19.64350767,4.962981785,19.63173269,429.4156418,405.3346848,-0.000588916,64.1246498,4.957461645,21.96414398,27.74731879,-1.80E-05,89.25104709,0,0,1,0,47561,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.992667,1681.19084,0.840598502,0.160755109,6,0.5,0: Broadleaf,2,TRUE,1659628317,394.0784667,419.9939333,27.75323,21.96376667,390.6206667,27.43118667,500.0715333,90.45304333,0.10001464,28.83956667,28.94106,999.9,0,0,10000.475,0,11.61897667,-25.91545333,405.3275667,429.4258,5.789469333,419.9939333,21.96376667,2.510365,1.98669,21.09385667,17.33865,1999.992667,0.9799993,0.02000119,0,777.6735333,5.00056,15479.91667,17294.79667,37.5,38.1622,37.187,37.12073333,38.5372,1955.092667,39.9,0,1659628326,0,777.67172,0.072000001,-7.41538461,15479.764,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-25.9148825,-0.015733959,0.024751383,1,777.7049118,-0.547394954,0.215733682,1,5.79130175,-0.04526015,0.004527278,1,3,3,3-Mar,2.97955,2.72797,0.0816433,0.0866795,0.11866,0.101619,27500,26992.6,30474.1,29801.4,37045.8,35246.6,46614.5,44319.3,1.87748,1.87752,0.138231,0,26.683,999.9,57.1,29.8,26.5862,63.1884,24.5353,1,-0.0268064,0,20.2084,5.23241,11.9644,4.97105,3.29025,9999,9999,9999,314.8,4.9729,1.87741,1.87546,1.87832,1.875,1.87864,1.87571,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.4,73153.2,1.10962,2.54395,1.39893,2.34741,1.44897,2.41577,36.2929,24.1751,18,492.123,463.771,27.6981,26.7274,29.9999,26.513,26.5883,22.2512,26.5343,100,-999.9,413.322,21.9855,100.741,101.908,7
2,1659628330,5,8/4/22 10:52,10:52:10,5,albert,e_y_105_14,1659628322,0.004957472,4.957471633,19.71794207,394.0830786,276.8716738,25.0716675,35.68555706,0.307271135,2.757497734,0.2894377,0.182414516,321.5095489,29.48110614,28.94092759,4.0080458,63.06340402,2.512897986,3.984716691,1.495147814,-218.624499,-14.98515156,-1.195103875,86.70479449,19.51675075,4.960640999,19.71794207,429.3634857,405.2709939,-0.021243395,64.1246498,4.957471633,21.96224988,27.74555212,1.05E-05,89.25104709,0,0,1,0,47598,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.995862,1681.193524,0.840598501,0.160755107,6,0.5,0: Broadleaf,2,TRUE,1659628322,394.0831034,419.8466897,27.75045862,21.96342069,390.6253448,27.42841724,500.0465862,90.45354138,0.099844438,28.84012759,28.94092759,999.9,0,0,10005.08172,0,11.62805172,-25.76356897,405.3312069,429.2751724,5.787049655,419.8466897,21.96342069,2.510127586,1.98666931,21.09231724,17.33848276,1999.995862,0.979999414,0.020001072,0,777.6702759,5.00056,15479.25517,17294.81724,37.50427586,38.16775862,37.187,37.14851724,38.55772414,1955.095862,39.9,0,1659628331,0,777.6696923,-0.294222208,-7.398290618,15479.11538,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-25.84894146,1.063996516,0.232344919,0,777.6771471,-0.139144382,0.229808761,1,5.78898,-0.034021254,0.003800071,1,2,3,3-Feb,2.97959,2.72826,0.0816197,0.0862715,0.11865,0.101615,27500.7,27004.6,30473.9,29801.3,37046,35246.5,46614.2,44319,1.87755,1.87755,0.138178,0,26.6836,999.9,57.1,29.8,26.5854,63.0484,24.6274,1,-0.0270986,0,20.2076,5.22912,11.9631,4.97,3.2895,9999,9999,9999,314.8,4.9729,1.87738,1.87546,1.87832,1.87501,1.87862,1.87571,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.457,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.5,73153.2,1.08398,2.54883,1.39893,2.34619,1.44897,2.41089,36.2694,24.1751,18,492.164,463.772,27.6982,26.7255,29.9999,26.513,26.5865,21.7202,26.5343,100,-999.9,399.938,21.9902,100.74,101.908,7
3,1659628335,10,8/4/22 10:52,10:52:15,5,albert,e_y_105_14,1659628327,0.004954127,4.954127341,19.63835518,393.6011181,276.7713913,25.06303941,35.64255788,0.307083595,2.757058018,0.289268581,0.182307287,321.5071884,29.48329478,28.93912857,4.007628396,63.05111001,2.512581359,3.984991475,1.495047037,-218.4770158,-14.53843901,-1.159658828,87.33207475,17.71439354,4.958074464,19.63835518,422.1250797,401.9341697,-0.844660337,64.1246498,4.954127341,21.96093717,27.74056667,-7.65E-06,89.25104709,0,0,1,0,47513,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.981071,1681.1811,0.840598505,0.160755116,6,0.5,0: Broadleaf,2,TRUE,1659628327,393.6011429,417.1983571,27.74646071,21.96231071,390.1448929,27.42441429,500.0394643,90.45520357,0.099818368,28.84131786,28.93912857,999.9,0,0,10002.29536,0,11.63363929,-23.59722143,404.8338571,426.5669643,5.784160357,417.1983571,21.96231071,2.5098125,1.986605357,21.09026429,17.33797143,1999.981071,0.979999321,0.020001168,0,777.6943214,5.00056,15478.81786,17294.68214,37.50442857,38.16042857,37.187,37.16928571,38.58225,1955.081071,39.9,0,1659628336,0,777.6686923,-0.336068365,-3.664957319,15478.76923,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-24.23598,23.69717223,2.955481383,0,777.6811471,0.041237594,0.210854861,1,5.7855365,-0.030083752,0.003373851,1,2,3,3-Feb,2.97966,2.7285,0.0810136,0.0843281,0.118639,0.101605,27519.3,27061.9,30474.5,29801.1,37047,35246.6,46615,44318.8,1.87748,1.87748,0.138357,0,26.6836,999.9,57.1,29.8,26.5849,63.4484,24.2588,1,-0.0271646,0,20.2075,5.22912,11.9635,4.97055,3.2895,9999,9999,9999,314.8,4.9729,1.87738,1.87547,1.87833,1.87501,1.87863,1.87573,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.445,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.6,73153.3,1.05225,2.55371,1.39893,2.34619,1.44897,2.39746,36.2929,24.1751,18,492.123,463.72,27.6982,26.7252,30.0001,26.513,26.5861,21.1049,26.5343,100,-999.9,379.816,21.9978,100.742,101.907,7
4,1659628340,15,8/4/22 10:52,10:52:20,5,albert,e_y_105_14,1659628333,0.004955504,4.95550359,19.18250162,390.8796425,276.5363614,25.04202673,35.39649688,0.306932994,2.757833669,0.289139601,0.182224899,321.5064854,29.48393409,28.94263704,4.00844246,63.03972532,2.512300808,3.985266108,1.496141652,-218.5377083,-14.88730625,-1.187179958,86.89429081,13.65559831,4.956875234,19.18250162,407.5550194,392.9932364,-1.941948604,64.1246498,4.95550359,21.95820499,27.73930606,2.13E-06,89.25104709,0,0,1,0,47547,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.976667,1681.1774,0.840598507,0.160755118,6,0.5,0: Broadleaf,2,TRUE,1659628333,390.8796667,409.5897037,27.74306296,21.96037037,387.4319259,27.42100741,500.0462593,90.45611852,0.099881422,28.84250741,28.94263704,999.9,0,0,10006.78519,0,11.63852963,-18.71012704,402.0333333,418.7865926,5.782702222,409.5897037,21.96037037,2.50953,1.98645,21.08843333,17.33673333,1999.976667,0.979999333,0.020001156,0,777.554963,5.00056,15476.33704,17294.64815,37.51377778,38.15944444,37.187,37.187,38.604,1955.076667,39.9,0,1659628341,0,777.4984615,-2.829811947,-42.11282052,15476.25385,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-21.5411325,50.98556285,5.398079262,0,777.6022059,-1.566004577,0.285715591,0,5.7838305,-0.024423715,0.002929376,1,1,3,3-Jan,2.97961,2.72855,0.0795349,0.081853,0.118632,0.101604,27563.7,27135,30474.6,29801.1,37047.3,35246.3,46615.2,44318.5,1.87763,1.8772,0.138357,0,26.6859,999.9,57.1,29.8,26.5864,63.2484,24.7957,1,-0.0272612,0,20.2077,5.22807,11.9635,4.9701,3.2895,9999,9999,9999,314.8,4.97292,1.87742,1.87547,1.87836,1.87501,1.87865,1.87574,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.417,0.3221,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.7,73153.4,1.01562,2.55615,1.39893,2.34619,1.44897,2.39258,36.2929,24.1751,18,492.196,463.545,27.6985,26.7252,30,26.5116,26.5861,20.3623,26.5343,100,-999.9,366.361,22.0071,100.742,101.907,7
5,1659628345,20,8/4/22 10:52,10:52:25,5,albert,e_y_105_14,1659628337,0.004951034,4.951034418,18.57827611,384.8427266,273.7795135,24.79252157,34.85002028,0.306462752,2.756973909,0.288716959,0.1819568,321.508406,29.48690841,28.94456429,4.008889698,63.02402387,2.511900573,3.985623923,1.496989125,-218.3406178,-14.9387764,-1.191676504,87.03733529,8.777324321,4.954783236,18.57827611,391.2033985,380.4039818,-2.59572026,64.1246498,4.951034418,21.95705741,27.73282121,-2.22E-05,89.25104709,0,0,1,0,47561,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.988571,1681.18741,0.840598509,0.160755122,6,0.5,0: Broadleaf,2,TRUE,1659628337,384.84275,397.6618214,27.73848214,21.95852143,381.4140357,27.41641429,500.0738214,90.45649643,0.100029336,28.84405714,28.94456429,999.9,0,0,10001.65464,0,11.6396,-12.81913179,395.8223571,406.5901071,5.779955,397.6618214,21.95852143,2.509126071,1.986291429,21.08581071,17.33547143,1999.988571,0.979999429,0.020001057,0,777.1120714,5.00056,15468.20357,17294.75714,37.52878571,38.16042857,37.187,37.20725,38.62275,1955.088214,39.90035714,0,1659628346,0,776.97236,-8.938153836,-169.4461538,15466.46,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-16.66643268,73.97695756,7.386253062,0,777.256,-4.764155838,0.582031634,0,5.781498537,-0.025925436,0.002947873,1,1,3,3-Jan,2.97965,2.72838,0.0774931,0.0791701,0.118617,0.101592,27625.1,27214.3,30474.9,29801.1,37048,35246.6,46615.4,44318.6,1.87763,1.87715,0.138581,0,26.6887,999.9,57.1,29.8,26.5861,63.2584,24.8438,1,-0.0272866,0,20.2078,5.22837,11.9653,4.9702,3.28958,9999,9999,9999,314.8,4.97293,1.87739,1.87547,1.87836,1.87501,1.87864,1.87572,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.377,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.8,73153.5,0.982666,2.55615,1.39893,2.34741,1.44897,2.3877,36.2929,24.1751,18,492.19,463.513,27.6991,26.725,30,26.5108,26.5861,19.686,26.5343,100,-999.9,346.274,22.0154,100.743,101.907,7
6,1659628350,25,8/4/22 10:52,10:52:30,5,albert,e_y_105_14,1659628343,0.004945408,4.945408251,17.96752366,374.1357551,266.4950875,24.13293904,33.88053211,0.305897765,2.756902221,0.288214886,0.181637801,321.5094032,29.49038109,28.94682963,4.00941545,63.00750297,2.511519388,3.986063992,1.497896062,-218.0925039,-14.99182402,-1.195964033,87.22911134,4.084129944,4.952629577,17.96752366,374.2275143,365.8420667,-2.95603003,64.1246498,4.945408251,21.95589418,27.72493212,-9.13E-06,89.25104709,0,0,1,0,47550,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.994815,1681.192655,0.840598507,0.160755118,6,0.5,0: Broadleaf,2,TRUE,1659628343,374.1357778,381.2590741,27.73419259,21.95684444,370.7407407,27.41212963,500.0847037,90.45671111,0.100076504,28.84596296,28.94682963,999.9,0,0,10001.20667,0,11.6396,-7.123521852,384.8080741,389.8183704,5.777343333,381.2590741,21.95684444,2.508744074,1.986144074,21.08332963,17.3343037,1999.994815,0.979999556,0.020000926,0,776.2221111,5.00056,15451.60741,17294.81111,37.55051852,38.15714815,37.187,37.229,38.64107407,1955.094444,39.90037037,0,1659628351,0,776.10276,-12.87284612,-255.0153841,15450.168,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-11.29711,67.61932056,6.805711962,0,776.7071176,-9.451428562,0.975816966,0,5.778959024,-0.028871707,0.003203377,1,1,3,3-Jan,2.97955,2.72822,0.0751253,0.0764184,0.118593,0.101594,27695.8,27296.6,30474.7,29802.1,37048.4,35247.7,46614.9,44320.3,1.8777,1.87722,0.137679,0,26.6916,999.9,57.1,29.8,26.5843,63.2384,24.8518,1,-0.027218,0,20.2077,5.22762,11.9647,4.96985,3.2895,9999,9999,9999,314.8,4.97291,1.87738,1.87547,1.87834,1.87502,1.87864,1.87574,1.87685,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.332,0.3221,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.8,73153.6,0.947266,2.55859,1.39893,2.34619,1.44897,2.37305,36.2929,24.1751,18,492.231,463.56,27.6995,26.7232,30.0001,26.5108,26.5861,18.9277,26.5343,100,-999.9,332.901,22.0317,100.742,101.911,7
7,1659628355,30,8/4/22 10:52,10:52:35,5,albert,e_y_105_14,1659628347,0.004942519,4.942519056,17.18768056,361.8202997,258.6975368,23.42694304,32.76545907,0.30573223,2.756255233,0.288064,0.181542277,321.5099087,29.49328314,28.94439643,4.008850743,62.98800987,2.511028295,3.986517911,1.497822448,-217.9650904,-14.33466362,-1.143805213,88.06634951,1.52744227,4.949109131,17.18768056,357.2875993,350.4759697,-3.089628014,64.1246498,4.942519056,21.95379063,27.71952667,-9.17E-06,89.25104709,0,0,1,0,47578,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.997857,1681.195221,0.840598511,0.160755127,6,0.5,0: Broadleaf,2,TRUE,1659628347,361.8203214,365.8014286,27.72862143,21.95531071,358.4646071,27.40656071,500.0815714,90.45723929,0.100032082,28.84792857,28.94439643,999.9,0,0,9997.32,0,11.63822143,-3.981213607,372.1392143,374.0130714,5.773305,365.8014286,21.95531071,2.508254643,1.986016071,21.08016071,17.33329643,1999.997857,0.979999536,0.020000946,0,775.2013214,5.00056,15431.375,17294.83571,37.562,38.15821429,37.187,37.24775,38.66042857,1955.097143,39.90071429,0,1659628356,0,775.0634,-14.04323078,-274.3000003,15429.444,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-5.909766275,40.91308943,4.053634257,0,775.7492059,-12.71720397,1.260243902,0,5.77523075,-0.049439662,0.004962019,1,1,3,3-Jan,2.97964,2.72839,0.072592,0.0735983,0.118574,0.101585,27771.3,27379.7,30474.2,29801.8,37048.5,35247.4,46614.2,44319.8,1.87738,1.87738,0.137892,0,26.6938,999.9,57.1,29.8,26.5859,63.3684,24.1987,1,-0.0272713,0,20.2077,5.22732,11.965,4.97015,3.28948,9999,9999,9999,314.8,4.97291,1.87734,1.87546,1.87829,1.87501,1.87862,1.87571,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.283,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73153.9,73153.7,0.909424,2.55981,1.39893,2.34619,1.44897,2.34619,36.2929,24.1751,18,492.052,463.647,27.6997,26.7229,30,26.5108,26.5849,18.2418,26.2481,100,-999.9,312.866,22.0475,100.741,101.91,7
8,1659628360,35,8/4/22 10:52,10:52:40,5,albert,e_y_105_14,1659628353,0.004942119,4.942119343,16.34215639,346.6359053,248.4522002,22.49916033,31.39041154,0.305509428,2.757829096,0.287875588,0.181421699,321.5075708,29.49591474,28.94590741,4.009201409,62.96470789,2.510518005,3.987182803,1.498683404,-217.947463,-14.13947582,-1.127611325,88.29302062,-0.353236204,4.941701369,16.34215639,340.2752867,334.7883758,-3.151916673,64.1246498,4.942119343,21.95420694,27.71957152,-8.26E-06,89.25104709,0,0,1,0,47615,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.983333,1681.183011,0.84059851,0.160755125,6,0.5,0: Broadleaf,2,TRUE,1659628353,346.6359259,348.2673704,27.72297778,21.95817407,343.3291111,27.40091852,500.0728148,90.45737037,0.099929256,28.85080741,28.94590741,999.9,0,0,10006.61963,0,11.63602593,-1.631582552,356.5196296,356.0863704,5.7648,348.2673704,21.95817407,2.507746667,1.986277407,21.07687407,17.33537407,1999.983333,0.979999556,0.020000926,0,774.0970741,5.00056,15408.82222,17294.70741,37.562,38.15255556,37.187,37.25,38.68240741,1955.082963,39.90037037,0,1659628361,0,773.9881154,-12.24064957,-239.2273505,15407.98462,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-3.459639873,28.56958976,2.814512538,0,774.9007647,-13.11663864,1.300145853,0,5.770816,-0.073012233,0.007984163,1,1,3,3-Jan,2.97963,2.72833,0.0699588,0.0707278,0.118586,0.101738,27850.4,27464.1,30474.6,29801.4,37048.1,35240.8,46614.6,44319.3,1.87752,1.87738,0.138447,0,26.6968,999.9,57.1,29.8,26.5873,63.2284,24.9119,1,-0.0272967,0,20.2078,5.22792,11.9649,4.97055,3.28958,9999,9999,9999,314.8,4.9729,1.87742,1.87547,1.87833,1.87501,1.87863,1.87575,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.233,0.3221,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73154,73153.8,0.871582,2.5647,1.39893,2.34619,1.44897,2.34375,36.2929,24.1751,18,492.135,463.643,27.7,26.7229,30,26.5108,26.5844,17.4736,26.2481,100,-999.9,299.463,22.051,100.742,101.909,7
9,1659628365,40,8/4/22 10:52,10:52:45,5,albert,e_y_105_14,1659628357,0.004933653,4.933652817,15.4048023,332.4511948,239.5422671,21.69227158,30.10584184,0.3047531,2.75708775,0.287199343,0.180992411,321.507551,29.50062896,28.95026786,4.010213526,62.95828996,2.510586165,3.987697516,1.499627361,-217.5740892,-14.45259688,-1.152930125,88.32793482,-1.47331713,4.925107302,15.4048023,323.4484251,319.069103,-3.142874872,64.1246498,4.933652817,22.01710336,27.73889394,0.005219956,89.25104709,0,0,1,0,47533,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.983214,1681.18291,0.84059851,0.160755125,6,0.5,0: Broadleaf,2,TRUE,1659628357,332.4512143,332.6480357,27.72376786,21.97829286,329.1908214,27.40171071,500.0698571,90.45718571,0.099991721,28.85303571,28.95026786,999.9,0,0,10002.25214,0,11.63280357,-0.196818389,341.9306429,340.1229643,5.745468214,332.6480357,21.97829286,2.507812143,1.988093214,21.0773,17.34981786,1999.983214,0.979999643,0.020000836,0,773.23825,5.00056,15392.09286,17294.71429,37.562,38.16042857,37.1915,37.25,38.687,1955.082857,39.90035714,0,1659628366,0,773.1438462,-9.379555537,-183.5145296,15391.03077,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,-1.013798548,18.56470061,1.799516564,0,773.726,-10.94392665,1.107061266,0,5.752517,-0.230634371,0.024508848,0,0,3,0/3,2.97964,2.72827,0.0672652,0.0678018,0.118638,0.101812,27931.4,27551,30474.9,29801.8,37046.2,35237.8,46615.2,44319.4,1.87748,1.87738,0.138354,0,26.7,999.9,57.1,29.8,26.5872,63.2684,24.2548,1,-0.0273958,0,20.2078,5.22762,11.9661,4.97085,3.28965,9999,9999,9999,314.8,4.9729,1.87736,1.87547,1.8783,1.87501,1.87863,1.87574,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.182,0.3221,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73154.1,73153.8,0.836182,2.56104,1.39893,2.34619,1.44897,2.33154,36.2929,24.1751,18,492.103,463.638,27.7005,26.7229,29.9999,26.51,26.5838,16.7747,26.2481,100,-999.9,279.424,22.0393,100.743,101.909,7
10,1659628370,45,8/4/22 10:52,10:52:50,5,albert,e_y_105_14,1659628363,0.004911536,4.911535998,14.48891349,316.3268335,228.4565161,20.68807574,28.64524769,0.303204719,2.756142247,0.285817826,0.180115145,321.5040027,29.50953628,28.95511481,4.011338829,62.96543987,2.511256137,3.988308733,1.500082692,-216.5987375,-14.77471357,-1.179074635,88.95147698,-2.565773017,4.911152261,14.48891349,306.4275418,303.2548121,-3.161005902,64.1246498,4.911535998,22.02352337,27.74857818,0.00068778,89.25104709,0,0,1,0,47490,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.961111,1681.164333,0.840598511,0.160755127,6,0.5,0: Broadleaf,2,TRUE,1659628363,316.3268519,315.1123333,27.73157037,22.00244074,313.1197407,27.40951852,500.0715926,90.45582222,0.10003537,28.85568148,28.95511481,999.9,0,0,9996.808148,0,11.63382963,1.214480596,325.349037,322.2012222,5.72912963,315.1123333,22.00244074,2.508481111,1.990247778,21.08163333,17.36694815,1999.961111,0.979999667,0.020000811,0,772.5598519,5.00056,15378.32963,17294.53333,37.562,38.15944444,37.19633333,37.27066667,38.69166667,1955.061111,39.9,0,1659628371,0,772.5453077,-6.260717955,-120.9299146,15378.86154,15,0,--:--:--,1655239120,1655239135,0,-0.075,-0.027,1.986,0.139,420,22,0.12,0.02,0.186249703,16.1902856,1.561271278,0,773.0482647,-8.305622616,0.865146479,0,5.74157925,-0.223498649,0.024192381,0,0,3,0/3,2.97965,2.72835,0.0645067,0.0647854,0.118668,0.101809,28013.8,27640.2,30474.7,29801.9,37044.5,35237.6,46614.9,44319.4,1.87745,1.8772,0.137731,0,26.7023,999.9,57.1,29.9,26.7413,63.4884,24.8718,1,-0.0274085,0,20.2077,5.22792,11.9659,4.97075,3.28965,9999,9999,9999,314.8,4.97291,1.87735,1.87547,1.87831,1.87501,1.87862,1.87575,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.13,0.322,2.001501617,0.004412805,-1.96E-06,5.31E-10,0.322052948,0,0,0,17,2064,1,24,73154.2,73153.9,0.797119,2.55371,1.39893,2.34619,1.44897,2.33398,36.2929,24.1751,18,492.078,463.526,27.7009,26.7229,29.9999,26.5085,26.5838,15.9987,26.2481,100,-999.9,266.067,22.0383,100.742,101.909,7
