"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_hum","AccH2O_des","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
1,1663712839.6,0,2022-09-20 17:27:19,17:27:19,5,"a_y_70_82","ozzie",1663712836.6,0.00072767284680236,0.727672846802364,-2.07497008179998,422.713275323394,488.536297922557,44.1278072546835,38.1822395117582,0.042690989877677,2.75216557024364,0.0423264845321692,0.026486542662453,0.00015962074799999,25.6268777438479,25.6268777438479,3.30047304425607,53.6336049776568,1.79135650144385,3.33998899046617,1.50911654281222,-32.0903725439843,29.7821146207589,2.30577382203841,-0.00232448043890087,-2.18218116500875,0.729652600245475,-2.07497008179998,428.582297238065,431.220266666666,-0.0211288066925756,65.4050961174433,0.727672846802364,18.9745652741626,19.8291384615385,0.00013096144203843,122.535645692228,0,0,1,0,47962,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712836.6,422.713272727273,420.465181818182,19.832,18.9739363636364,416.813454545454,19.5543181818182,500.090272727273,90.2265818181818,0.0999864272727272,25.8276,25.0338090909091,999.9,0,0,9998.63636363636,0,0.220656,2.24797545454545,431.265909090909,428.597454545455,0.858070636363636,420.465181818182,18.9739363636364,1.78937363636364,1.71195363636364,15.6942818181818,15.0052363636364,0.00100013,0,0,0,623.863636363636,0.00100013,-19.7272727272727,-2.77272727272727,35.625,40.687,37.6813636363636,41.9313636363636,38.25,0,0,0,1663712837.5,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.30052125,-0.554428930581614,0.0968697278355705,0,0.861264175,-0.0390807467166988,0.00503677655791628,1,1,2,"1/2",2.97386,2.75426,0.0908852,0.0916391,0.0903588,0.0884389,35460.7,38630.8,35345.7,38567.5,45583.4,50765.6,55237.6,61848,1.9944,1.839,0.051856,0,24.193,999.9,48.102,29.98,22.6886,60.6001,46.4103,1,-0.0846341,-0.140828,20.167,5.20411,12.0052,4.976,3.2938,9999,9999,9999,699.8,1.86295,1.8678,1.86752,1.86874,1.86951,1.86563,1.86664,1.86798,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.9,0.2777,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.5,50586.5,1.02539,2.63184,1.54785,2.30103,1.34644,2.38403,32.6204,16.1371,18,501.809,403.138,25.3248,26.1537,30.0001,26.1106,26.0505,20.5334,24.007,40.5111,25.3038,420.5,18.9385,102.477,102.955,6
2,1663712844.6,5,2022-09-20 17:27:24,17:27:24,5,"a_y_70_82","ozzie",1663712842.1,0.00072615632594045,0.726156325940458,-2.10234088523916,422.707891533333,489.771326206856,44.2394353620662,38.1818155614648,0.0425642542529802,2.75127297741216,0.0422017835015884,0.0264084238413272,0.00015962074799999,25.6333588643545,25.6333588643545,3.30174256493742,53.6133402866459,1.79132931773857,3.34120073131269,1.51041324719884,-32.0234939739742,29.7192213991967,2.30179668187804,-0.00231627215144314,-2.11539171771226,0.726613622263297,-2.10234088523916,428.703259812743,431.267884848485,0.00135897949148613,65.4050961174433,0.726156325940458,18.9766539190148,19.8302593406594,3.65103511786832e-05,122.535645692228,0,0,1,0,47732,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712842.1,422.707888888889,420.538444444444,19.8316666666667,18.9772,416.807777777778,19.5540111111111,500.104,90.2267333333333,0.0999824111111111,25.8337222222222,25.0435555555556,999.9,0,0,9993.33333333333,0,0.220656,2.16906111111111,431.260333333333,428.673666666667,0.854463111111111,420.538444444444,18.9772,1.78934666666667,1.71225111111111,15.6940444444444,15.0079444444444,0.00100013,0,0,0,619.222222222222,0.00100013,-17.8333333333333,-1,35.6387777777778,40.75,37.687,41.993,38.2637777777778,0,0,0,1663712842.3,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.25350365853659,-0.524521254355397,0.0937661462325185,0,0.858330658536585,-0.0258705156794405,0.00381945958768243,1,1,2,"1/2",2.97444,2.75389,0.0908856,0.0916444,0.0903611,0.0884368,35461.1,38630.6,35346.1,38567.6,45583.8,50765.1,55238.1,61847.3,1.9944,1.8384,0.051707,0,24.2012,999.9,48.126,29.97,22.6867,60.7601,45.6931,1,-0.084939,-0.0699129,20.166,5.19932,12.0052,4.9752,3.2934,9999,9999,9999,699.8,1.86295,1.86777,1.86752,1.86871,1.86954,1.86563,1.86667,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.9,0.2777,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.6,50586.6,1.02417,2.62207,1.54785,2.30103,1.34644,2.34375,32.6204,16.1284,18,501.788,402.806,25.2885,26.1515,30.0002,26.1084,26.0505,20.5314,24.007,40.5111,25.263,420.5,19.0074,102.478,102.955,6
3,1663712849.6,10,2022-09-20 17:27:29,17:27:29,5,"a_y_70_82","ozzie",1663712846.8,0.00072629094756462,0.72629094756462,-2.07321171820675,422.68800260604,488.691057239892,44.1425571330509,38.1806235822586,0.0425446504284538,2.75318636825576,0.0421827613205839,0.0263964834262403,0.00015962074799999,25.6382194446009,25.6382194446009,3.30269493439585,53.5974342019275,1.79130378490805,3.34214465968527,1.5113911494878,-32.0294307875997,29.726115176396,2.30084178912859,-0.00231420132715598,-2.11739988661719,0.72538887023961,-2.07321171820675,428.708465881777,431.240448484849,0.0007333232584961,65.4050961174433,0.72629094756462,18.9772103139776,19.831478021978,-1.9930388436531e-05,122.535645692228,0,0,1,0,47711,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712846.8,422.688,420.5155,19.83107,18.97804,416.7884,19.55346,500.1022,90.22824,0.09990593,25.83849,25.04404,999.9,0,0,10004.5,0,0.220656,2.172481,431.2398,428.6504,0.8530522,420.5155,18.97804,1.789323,1.712354,15.69384,15.00886,0.00100013,0,0,0,613.8,0.00100013,-13.2,-2.35,35.687,40.7374,37.7374,42.0372,38.312,0,0,0,1663712847.1,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.21996075,-0.603517035647288,0.0874573450142268,0,0.856444025,-0.0228866679174499,0.00356279151430096,1,1,2,"1/2",2.97286,2.75425,0.0908858,0.0916656,0.0903557,0.0884463,35461.3,38630.6,35346.2,38568.4,45583.9,50765.7,55238,61848.6,1.9938,1.8388,0.0506639,0,24.2114,999.9,48.126,29.97,22.6855,60.7101,46.3902,1,-0.085122,-0.00520697,20.1648,5.20411,12.0076,4.976,3.2938,9999,9999,9999,699.8,1.86295,1.86771,1.86752,1.86865,1.86951,1.86554,1.86664,1.86798,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.9,0.2776,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.7,50586.7,1.02539,2.63184,1.54785,2.30103,1.34644,2.37671,32.6204,16.1284,18,501.393,403.027,25.2441,26.1515,30.0001,26.1084,26.0505,20.5297,24.007,40.5111,25.2162,420.5,19.0391,102.478,102.957,6
4,1663712854.6,15,2022-09-20 17:27:34,17:27:34,5,"a_y_70_82","ozzie",1663712852.1,0.00072443646597739,0.724436465977391,-2.03817282552875,422.610669220613,487.519301526916,44.036287541315,38.1732679907013,0.0424232361482678,2.7535369178979,0.0420634455833335,0.0263217247849578,0.00015962074799999,25.6401646157005,25.6401646157005,3.30307613339393,53.5924283743985,1.79128611164558,3.34242385721281,1.51179002174834,-31.9476481496029,29.65045461148,2.2947320432527,-0.00230187412223514,-2.0814715027952,0.725154676209024,-2.03817282552875,428.581181638179,431.115163636364,-0.00874877030556119,65.4050961174433,0.724436465977391,18.977339231082,19.8287483516484,5.04172393146696e-05,122.535645692228,0,0,1,0,47851,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712852.1,422.610666666667,420.481222222222,19.8310666666667,18.9783666666667,416.711444444444,19.5534444444444,500.134222222222,90.2274333333333,0.0998365888888889,25.8399,25.0496333333333,999.9,0,0,10006.6666666667,0,0.220656,2.12914333333333,431.160888888889,428.615777777778,0.8527,420.481222222222,18.9783666666667,1.78930777777778,1.71236888888889,15.6936777777778,15.0090111111111,0.00100013,0,0,0,625.277777777778,0.00100013,-8.77777777777778,1.05555555555556,35.687,40.5761111111111,37.6732222222222,41.7358888888889,38.222,0,0,0,1663712852.5,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.18816075,-0.40509332082552,0.0845158982791847,0,0.85477275,-0.0233973208255163,0.0036141612356811,1,1,2,"1/2",2.97402,2.75427,0.0908765,0.0916332,0.0903642,0.0884504,35461.1,38631.8,35345.7,38568.3,45583.3,50766.2,55237.8,61849.6,1.9938,1.8388,0.0505149,0,24.2195,999.9,48.15,29.97,22.6964,60.5401,45.7492,1,-0.0853049,0.0212418,20.165,5.20291,12.0076,4.976,3.294,9999,9999,9999,699.8,1.86295,1.86768,1.86752,1.86871,1.86951,1.8656,1.86673,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.899,0.2776,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.8,50586.8,1.02417,2.63916,1.54785,2.30103,1.34644,2.29858,32.6204,16.1196,18,501.393,403.011,25.1944,26.1493,30,26.1084,26.0483,20.5321,24.007,40.5111,25.1708,420.5,19.0695,102.477,102.958,6
5,1663712859.6,20,2022-09-20 17:27:39,17:27:39,5,"a_y_70_82","ozzie",1663712856.8,0.00072322065606098,0.72322065606098,-1.9224997550526,422.577202405991,483.289325606396,43.6549820916091,38.1709241771668,0.0423401329079097,2.75091848982107,0.0419814061220192,0.0262703555505956,0.00015962074799999,25.6419439254664,25.6419439254664,3.3034248618795,53.5846265493084,1.79119724389789,3.3427446625006,1.51222761798162,-31.8940309322892,29.5986321910739,2.29294089110988,-0.00229822935743229,-2.04398572869425,0.722839572968615,-1.9224997550526,428.628416054109,431.088812121212,-0.0229902954720754,65.4050961174433,0.72322065606098,18.9801524962485,19.8309472527473,-3.12179248517215e-05,122.535645692228,0,0,1,0,47986,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712856.8,422.5772,420.4913,19.82973,18.97966,416.6782,19.55216,500.0806,90.22885,0.10002709,25.84152,25.04352,999.9,0,0,9991,0,0.220656,2.085779,431.1263,428.6266,0.850101,420.4913,18.97966,1.789215,1.712512,15.6929,15.01031,0.00100013,0,0,0,616.5,0.00100013,-14.3,-0.65,35.6498,40.3935,37.5872,41.4435,38.1122,0,0,0,1663712857.3,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.15129,-0.244458461538467,0.0819214417597737,0,0.852713075,-0.0155585853658536,0.00324673008877778,1,1,2,"1/2",2.97445,2.75445,0.0908717,0.0916323,0.0903584,0.0884744,35461.8,38632,35346.2,38568.4,45584.3,50764.5,55238.7,61849.1,1.9942,1.8386,0.0502169,0,24.2277,999.9,48.199,29.97,22.7208,60.8501,46.246,1,-0.0854065,0.0358824,20.165,5.20291,12.0076,4.976,3.294,9999,9999,9999,699.8,1.86295,1.86771,1.86752,1.86871,1.86951,1.86557,1.86661,1.86798,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.899,0.2776,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.9,50586.8,1.02417,2.62939,1.54785,2.2998,1.34644,2.42188,32.5982,16.1371,18,501.645,402.9,25.1468,26.1493,29.9999,26.1067,26.0483,20.533,23.7176,40.5111,25.1265,420.5,19.1002,102.479,102.957,6
6,1663712864.6,25,2022-09-20 17:27:44,17:27:44,5,"a_y_70_82","ozzie",1663712862.1,0.00071382557007881,0.713825570078819,-1.99435988365656,422.512446958612,486.931566259597,43.983453403052,38.1646165718206,0.041771656812255,2.7540164411958,0.0414228445960824,0.0259203743574915,0.00015962074799999,25.6447888831228,25.6447888831228,3.30398251445724,53.5874768772233,1.79129747547764,3.3427539042037,1.5126850389796,-31.4797076404759,29.2164897875612,2.26082398409539,-0.00223424807131422,-1.9866620876036,0.707700896585313,-1.99435988365656,428.642853863584,431.073412121212,0.00177066754044958,65.4050961174433,0.713825570078819,18.9934406381246,19.8328021978022,3.1356198345905e-06,122.535645692228,0,0,1,0,47550,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712862.1,422.512444444444,420.487777777778,19.8310777777778,18.9988888888889,416.614,19.5534555555556,500.126666666667,90.2280111111111,0.0997812333333333,25.8415666666667,25.0440111111111,999.9,0,0,10009.4444444444,0,0.232914666666667,2.02474333333333,431.060777777778,428.631222222222,0.832179888888889,420.487777777778,18.9988888888889,1.78932,1.71423555555556,15.6938111111111,15.0259333333333,0.00100013,0,0,0,625.055555555556,0.00100013,-14.5555555555556,0.166666666666667,35.625,40.1664444444445,37.472,41.1246666666667,37.9788888888889,0,0,0,1663712862.1,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.11529575,-0.507991181988746,0.0924820648257677,0,0.848440575,-0.0584064427767353,0.00765429201457425,1,1,2,"1/2",2.97321,2.75378,0.0908595,0.0916415,0.0903771,0.088528,35462.1,38632,35346,38568.8,45583.3,50761.7,55238.6,61849.4,1.9938,1.8392,0.0493228,0,24.2358,999.9,48.199,29.97,22.7191,60.7101,45.9816,1,-0.0853862,0.0567756,20.1648,5.20291,12.0064,4.9756,3.294,9999,9999,9999,699.8,1.86295,1.86771,1.86749,1.86865,1.86951,1.86557,1.86661,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.899,0.2778,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50586.9,50586.9,1.02539,2.63428,1.54785,2.30103,1.34644,2.29126,32.5982,16.1196,18,501.373,403.232,25.1017,26.1471,29.9999,26.1062,26.0483,20.5331,23.4271,40.5111,25.0817,420.5,19.127,102.479,102.958,6
7,1663712869.6,30,2022-09-20 17:27:49,17:27:49,5,"a_y_70_82","ozzie",1663712866.8,0.00070188554243461,0.701885542434617,-2.03961658190591,422.498302551742,489.940730045801,44.2548625114178,38.1629922643641,0.0410805590200107,2.75138923913817,0.0407428236540625,0.0254943773990159,0.00015962074799999,25.6457019304445,25.6457019304445,3.30416150228154,53.6147574816525,1.79197511526536,3.34231692809314,1.51218638701619,-30.9531524213666,28.7258624188366,2.22496643255271,-0.00216394922936302,-1.99232668720966,0.694700720869824,-2.03961658190591,428.596399244002,431.082624242424,0.00172464724551303,65.4050961174433,0.701885542434617,19.0169620044318,19.8413373626374,0.0001103332495185,122.535645692228,0,0,1,0,47987,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712866.8,422.4983,420.4602,19.83876,19.02185,416.5998,19.56083,500.1178,90.22693,0.10004181,25.83936,25.04745,999.9,0,0,9994,0,0.220656,2.038126,431.0497,428.6133,0.8169105,420.4602,19.02185,1.789991,1.716284,15.69964,15.04448,0.00100013,0,0,0,624.3,0.00100013,-20.2,-1.4,35.5683,39.9811,37.3998,40.8747,37.8748,0,0,0,1663712867.5,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.0897495,-0.489411106941845,0.090656276091344,0,0.84067195,-0.120505711069422,0.0127934825359438,0,0,2,"0/2",2.97445,2.754,0.0908511,0.0916449,0.0904013,0.0887214,35462.6,38632,35346.2,38568.9,45582.1,50751.5,55238.6,61850.1,1.994,1.8396,0.0479817,0,24.244,999.9,48.199,29.97,22.7224,60.7201,46.0497,1,-0.0859146,0.100458,20.1648,5.20172,12.004,4.9756,3.294,9999,9999,9999,699.8,1.86295,1.86768,1.86752,1.86874,1.86951,1.86554,1.86661,1.86798,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.898,0.2781,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50587,50587,1.02539,2.62573,1.54785,2.30103,1.34644,2.44019,32.6204,16.1284,18,501.505,403.453,25.0561,26.1449,30,26.1062,26.0483,20.5347,23.1544,40.5111,25.0324,420.5,19.1489,102.479,102.959,6
8,1663712874.6,35,2022-09-20 17:27:54,17:27:54,5,"a_y_70_82","ozzie",1663712872.1,0.00068077940098809,0.680779400988092,-2.0409397080263,422.479669240443,492.345314045406,44.4703737184316,38.1598610641579,0.0398813564204056,2.75167927266662,0.039563002068477,0.0247552672102195,0.00015962074799999,25.6476832311386,25.6476832311386,3.30454993264261,53.6929393669165,1.79417784897225,3.34155266991726,1.51037208367036,-30.0223715835749,27.862342123619,2.15783448950485,-0.00203534970300012,-1.93668617283125,0.645576007880218,-2.0409397080263,428.637002173116,431.085939393939,0.00992652654786352,65.4050961174433,0.680779400988092,19.0851249792332,19.8846505494506,0.00010303379984637,122.535645692228,0,0,1,0,47597,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712872.1,422.479666666667,420.483555555556,19.8639,19.1048333333333,416.581333333333,19.585,500.155555555556,90.2233777777778,0.100166388888889,25.8355,25.0458111111111,999.9,0,0,9996.11111111111,0,0.220656,1.99635555555556,431.042,428.673333333333,0.759060555555556,420.483555555556,19.1048333333333,1.79218888888889,1.72370333333333,15.7188333333333,15.1115555555556,0.00100013,0,0,0,619.5,0.00100013,-21.3888888888889,-1.33333333333333,35.5068888888889,39.7636666666667,37.2982222222222,40.5483333333333,37.7706666666667,0,0,0,1663712872.3,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.043513,-0.430647129455908,0.0969991015473854,0,0.81543845,-0.328178904315199,0.0341146711071278,0,0,2,"0/2",2.97278,2.7537,0.090842,0.0916406,0.0905299,0.0888908,35462.5,38632.2,35345.7,38568.9,45575,50741.7,55237.9,61849.7,1.994,1.839,0.0482798,0,24.2501,999.9,48.224,29.96,22.7191,60.5501,46.1298,1,-0.0859146,0.0977778,20.1649,5.20172,12.0088,4.9748,3.2936,9999,9999,9999,699.8,1.86295,1.86771,1.86752,1.86874,1.86951,1.86566,1.86673,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.898,0.2797,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50587.1,50587.1,1.02539,2.6355,1.54785,2.30103,1.34644,2.35596,32.6204,16.1196,18,501.505,403.122,25.0071,26.1449,30,26.1062,26.0483,20.5358,23.1544,40.5111,24.9892,420.5,19.1385,102.478,102.958,6
9,1663712879.6,40,2022-09-20 17:27:59,17:27:59,5,"a_y_70_82","ozzie",1663712876.8,0.0007362788402136,0.736278840213606,-1.84747896595501,422.436602319992,478.806777795949,43.249275909707,38.1575157565596,0.0433430101993639,2.75477389733072,0.0429676908699708,0.026888256739071,0.00015962074799999,25.6325934815504,25.6325934815504,3.3015926196855,53.791313283225,1.79746613013066,3.34155464966348,1.50412648955485,-32.46989685342,30.1362218882676,2.33113965034841,-0.00237569405597071,-1.9400778865349,0.660468418657067,-1.84747896595501,428.638331789449,430.962866666667,-0.01364528597179,65.4050961174433,0.736278840213606,19.1183223427689,19.9113,0.00818513555882903,122.535645692228,0,0,1,0,47713,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712876.8,422.4366,420.4437,19.8995,19.12286,416.5386,19.61922,500.0969,90.22742,0.09978069,25.83551,25.0478,999.9,0,0,10014,0,0.220656,1.993045,431.0135,428.6404,0.7766356,420.4437,19.12286,1.795482,1.725407,15.74752,15.12691,0.00100013,0,0,0,625.6,0.00100013,-20.6,-2.35,35.4622,39.6122,37.2122,40.306,37.6872,0,0,0,1663712877.1,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,2.0149995,-0.266562101313324,0.0967637059787914,0,0.800501425,-0.290653362101317,0.0319131710363351,0,0,2,"0/2",2.97432,2.75386,0.0908528,0.0916462,0.0906264,0.0889248,35462,38631.7,35345.6,38568.7,45569.6,50740,55237.4,61849.9,1.9936,1.8392,0.0491738,0,24.2562,999.9,48.248,29.97,22.7406,60.6801,46.0938,1,-0.0858537,0.13061,20.1652,5.20531,12.0088,4.976,3.2938,9999,9999,9999,699.8,1.86295,1.86774,1.86752,1.86871,1.86951,1.86557,1.86673,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.898,0.2808,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50587.2,50587.2,1.02539,2.62329,1.54785,2.30225,1.34644,2.42065,32.5982,16.1284,18,501.221,403.217,24.9629,26.1427,30,26.104,26.0461,20.5373,23.1544,40.5111,24.9416,420.5,19.1255,102.477,102.958,6
10,1663712884.6,45,2022-09-20 17:28:04,17:28:04,5,"a_y_70_82","ozzie",1663712882.1,0.00070867108382126,0.70867108382126,-1.88219244330038,422.456446822598,482.745519630451,43.6060503410786,38.1601824107274,0.0417374923475103,2.75422927752679,0.0413892745777896,0.0258993403158668,0.00015962074799999,25.6375225942763,25.6375225942763,3.3025583806204,53.8639652848453,1.79961197858508,3.34103137239955,1.50294640203532,-31.2523947965176,29.0058616539408,2.24417183353204,-0.0022016882966831,-1.91245279201645,0.675401619701751,-1.88219244330038,428.713286084528,431.0352,-0.0041889226510868,65.4050961174433,0.70867108382126,19.1292847722149,19.9289384615385,0.0037746675720427,122.535645692228,0,0,1,0,47437,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663712882.1,422.456444444444,420.504444444444,19.9228,19.1286888888889,416.558111111111,19.6416111111111,500.140888888889,90.2293666666667,0.0999032444444444,25.8328666666667,25.0468222222222,999.9,0,0,10010.5555555556,0,0.220656,1.95196333333333,431.044,428.705,0.794099222222222,420.504444444444,19.1286888888889,1.79762111111111,1.72597111111111,15.7661333333333,15.1319888888889,0.00100013,0,0,0,628.333333333333,0.00100013,-15.5555555555556,0.0555555555555556,35.4232222222222,39.4164444444445,37.111,40.0274444444444,37.583,0,0,0,1663712882.5,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,1.9909895,-0.404238574108822,0.0976722198721315,0,0.78878155,-0.106950168855536,0.0235231434846089,0,0,2,"0/2",2.97261,2.75388,0.0908544,0.0916347,0.0906911,0.0889416,35461.8,38632.4,35345.4,38568.9,45566.3,50739.3,55237.3,61850.2,1.9942,1.8394,0.0481308,0,24.2623,999.9,48.272,29.96,22.7404,60.6601,46.278,1,-0.0860163,0.160566,20.1649,5.20291,12.0076,4.9756,3.2938,9999,9999,9999,699.8,1.86295,1.86768,1.86752,1.86871,1.86954,1.8656,1.8667,1.86801,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.898,0.2816,3.61927167264205,0.00509506669552448,1.17866753763249e-06,-6.62632595388568e-10,-0.0260113,-0.0225052,0.00262968,-3.50089e-05,-5,1640,1,20,50587.3,50587.3,1.02539,2.63184,1.54785,2.30103,1.34644,2.3877,32.5982,16.1284,18,501.616,403.327,24.9158,26.1427,29.9999,26.104,26.0461,20.538,23.1544,40.5111,24.894,420.5,19.1191,102.477,102.959,6
