"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
1,1663787521,0,2022-09-21 14:12:01,14:12:01,5,"a_n_210_130","stan",1663787518,0.00072628724721382,0.726287247213827,-1.30603015173214,421.171365266806,457.664308706577,41.489819381896,38.1815307449498,0.0435940106756693,2.76040217832199,0.0432151191736589,0.0270432167840673,0.000159630324,26.0662143535627,25.0627,3.19158302836429,49.8633645182111,1.70917811058497,3.42772319336923,1.48240491777933,-32.0292676021297,179.064194445203,13.8133616337641,160.848448107161,-1.32356092946912,0.753050858075234,-1.30603015173214,427.65896851147,429.2564,-0.00036005476660476,64.7264698526509,0.726287247213827,17.9667219728596,18.847648951049,-0.00374461433955337,95.0849997871051,0,0,1,0,48009,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787518,421.171363636364,419.963818181818,18.8535363636364,17.9670090909091,424.935363636364,19.0064727272727,500.054454545455,90.5557272727273,0.0998440545454545,26.2659363636364,25.0627,999.9,0,0,10010.9727272727,0,0.281038,1.20753090909091,429.264454545454,427.647454545454,0.886533,419.963818181818,17.9670090909091,1.70729636363636,1.62701636363636,14.9629090909091,14.2170727272727,0.00100019,0,0,0,629.272727272727,0.00100019,0.136363636363636,-1.5,35.0394545454545,39.7385454545455,37.187,40.2270909090909,37.2894545454545,0,0,0,1663787523,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.20114756097561,0.103169895470385,0.0363619453167991,0,0.900250536585366,-0.01923687804878,0.0154448595238699,1,1,2,"1/2",2.98273,2.71542,0.0952957,0.0935503,0.0909479,0.0861151,28625.8,28854,29408.6,29439.7,35433.3,35759.2,41439,41940.2,1.97225,1.88428,0.0130758,0,24.843,999.9,42.7,31.3,21.6367,63.9099,29.4511,1,-0.050155,1.51433,20.3464,5.22478,12.0099,4.99095,3.2893,9999,9999,9999,253.1,1.86772,1.86686,1.86626,1.86615,1.86799,1.87048,1.86917,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.153,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27409.7,27409.7,1.03394,2.21802,1.39648,2.34253,1.49536,2.42798,36.8366,23.9999,18,531.307,431.166,24.4813,26.7523,29.9998,26.78,26.7272,20.7133,20.9812,21.1832,24.4407,420,17.9625,100.589,100.738,6
2,1663787526,5,2022-09-21 14:12:06,14:12:06,5,"a_n_210_130","stan",1663787523.5,0.00073626070284155,0.736260702841558,-1.33666673030242,421.17066834347,458.085476902097,41.5276448839705,38.1811404910578,0.0442407599771136,2.75758034352047,0.0438502016432394,0.0274411786520716,0.000159630324,26.0384172623954,25.0498555555556,3.18914096544919,49.9059372860744,1.70812771532979,3.42269438912317,1.48101325011939,-32.4690969953127,177.095042770638,13.6728467230955,158.298952128745,-1.31654199450757,0.741789428210094,-1.33666673030242,427.651040419831,429.281303030303,0.0006388934311205,64.7264698526509,0.736260702841558,17.9689149592509,18.8399545454546,-0.00060905848109289,95.0849997871051,0,0,1,0,47856,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787523.5,421.170666666667,419.965777777778,18.8421111111111,17.9687777777778,424.934888888889,18.9951111111111,500.023888888889,90.5548222222222,0.0999725222222222,26.2410777777778,25.0498555555556,999.9,0,0,9994.38,0,0.281038,1.20480777777778,429.258777777778,427.650111111111,0.87333,419.965777777778,17.9687777777778,1.70624333333333,1.62715888888889,14.9533555555556,14.2184444444444,0.00100019,0,0,0,645.611111111111,0.00100019,-15.1666666666667,-0.833333333333333,35.062,39.812,37.236,40.333,37.319,0,0,0,1663787528.4,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.20648487804878,0.00096543554007038,0.0341420176095166,1,0.896891,-0.176723101045296,0.0188213588594733,0,1,2,"1/2",2.98317,2.71593,0.0952977,0.0935504,0.0909219,0.0860959,28626.3,28854.1,29409.2,29439.8,35434.9,35760.1,41439.7,41940.4,1.97292,1.88375,0.0119954,0,24.841,999.9,42.7,31.3,21.6402,64.2499,29.5713,1,-0.0508994,1.44208,20.3472,5.22613,12.0099,4.9914,3.28963,9999,9999,9999,253.1,1.86773,1.86686,1.86628,1.86615,1.86798,1.87047,1.86917,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.153,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27409.8,27409.8,1.03394,2.21924,1.39648,2.34253,1.49536,2.45728,36.8366,24.0087,18,531.721,430.821,24.4199,26.75,29.9996,26.776,26.7229,20.7145,21.5378,21.1832,24.3921,420,17.7953,100.591,100.738,6
3,1663787531,10,2022-09-21 14:12:11,14:12:11,5,"a_n_210_130","stan",1663787528.2,0.00073763403860834,0.737634038608344,-1.25927932972102,421.167301575575,455.172131116581,41.2630554332129,38.1803905018046,0.044381403614997,2.75520080899978,0.0439880338277757,0.0275275731386336,0.000159630324,26.01741575085,25.03549,3.18641163424292,49.9412750485422,1.7072727953749,3.41856068695775,1.47913883886802,-32.529661102628,176.037297417715,13.6005405617682,157.108336507179,-1.29285011132708,0.766330230632142,-1.25927932972102,427.680716674903,429.223175757575,-0.00085352681985561,64.7264698526509,0.737634038608344,17.9537238380592,18.8224426573427,-5.49620993059982e-05,95.0849997871051,0,0,1,0,48049,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787528.2,421.1673,420.0034,18.8329,17.93079,424.9316,18.98595,500.0929,90.55369,0.10004869,26.22062,25.03549,999.9,0,0,9980.441,0,0.281038,1.163866,429.2512,427.6721,0.9020898,420.0034,17.93079,1.705387,1.6237,14.94556,14.18558,0.00100019,0,0,0,630.85,0.00100019,-8.45,-0.15,35.1061,39.8749,37.25,40.4371,37.375,0,0,0,1663787533.2,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.19643,-0.169267944250871,0.0381843295019331,0,0.892852682926829,-0.0355149407665496,0.017281035866139,1,1,2,"1/2",2.98267,2.71548,0.0952948,0.0935549,0.0908523,0.0858257,28626.7,28854.2,29409.4,29440,35437.9,35771.3,41440.1,41940.9,1.97232,1.88393,0.0110641,0,24.8389,999.9,42.7,31.3,21.639,64.0499,29.7796,1,-0.0514863,1.37806,20.3476,5.22418,12.0099,4.9909,3.2893,9999,9999,9999,253.1,1.86772,1.8668,1.86627,1.86615,1.86798,1.87047,1.86918,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1532,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27409.9,27409.9,1.03394,2.21313,1.39648,2.34253,1.49536,2.44385,36.8604,24.0087,18,531.285,430.891,24.3727,26.7489,29.9997,26.7721,26.7184,20.7131,21.8177,21.1832,24.3584,420,17.7713,100.591,100.739,6
4,1663787536,15,2022-09-21 14:12:16,14:12:16,5,"a_n_210_130","stan",1663787533.5,0.00071718135996723,0.717181359967238,-1.26978514976765,421.174446034423,456.806471445365,41.4113007490146,38.181117700337,0.0431999209871203,2.75706770927045,0.0428273714868887,0.0268003113643569,0.000159630324,26.0011622159871,25.0078444444444,3.18116496120421,49.9100917244682,1.7039896429188,3.41411843585818,1.47717531828541,-31.6276979745552,176.9944074602,13.6618194170488,159.028688533017,-1.28214055910624,0.795720669614959,-1.26978514976765,427.691180092594,429.242406060606,-4.9385101972627e-06,64.7264698526509,0.717181359967238,17.8742169078618,18.7807475524476,-0.00899241566975925,95.0849997871051,0,0,1,0,47958,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787533.5,421.174444444444,420.038222222222,18.7966444444444,17.8598777777778,424.938444444444,18.9500111111111,500.08,90.5537777777778,0.100149733333333,26.1986111111111,25.0078444444444,999.9,0,0,9991.46444444444,0,0.281038,1.13592666666667,429.242555555555,427.676666666667,0.936776222222222,420.038222222222,17.8598777777778,1.70210777777778,1.61727777777778,14.9156444444444,14.1244222222222,0.00100019,0,0,0,630.111111111111,0.00100019,-16.3333333333333,-2.27777777777778,35.125,39.937,37.2982222222222,40.5482222222222,37.3956666666667,0,0,0,1663787538,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.17852425,-0.316928442776739,0.0364994636869845,0,0.898430725,0.196640003752347,0.0248042542076833,0,0,2,"0/2",2.98266,2.71534,0.095299,0.093556,0.0907114,0.0856633,28626.6,28854.6,29409.5,29440.4,35443.9,35778.2,41440.5,41941.4,1.97232,1.88398,0.0101328,0,24.8358,999.9,42.7,31.3,21.6408,64.2399,29.7035,1,-0.0519461,1.30213,20.3483,5.22298,12.0099,4.9907,3.28925,9999,9999,9999,253.1,1.86773,1.86683,1.86627,1.86615,1.868,1.87049,1.8692,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.765,-0.1536,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410,27410,1.03394,2.21436,1.39648,2.34131,1.49536,2.45361,36.8604,24.0087,18,531.253,430.891,24.3391,26.7477,29.9998,26.7687,26.7145,20.7132,22.1143,21.1832,24.3511,420,17.6769,100.592,100.741,6
5,1663787541,20,2022-09-21 14:12:21,14:12:21,5,"a_n_210_130","stan",1663787538.2,0.00071441486295824,0.714414862958242,-1.19584750486714,421.161701494498,454.250866899085,41.1801377813276,38.1804376382506,0.0430202671101336,2.7589590785877,0.0426510464253516,0.0266898127839851,0.000159630324,25.9804548224345,24.99165,3.17809502901909,49.8703047445202,1.70046040000645,3.40976540792706,1.47763462901263,-31.5056954564585,176.313121356794,13.5973210279051,158.404906558565,-1.31300883286092,0.79371145313291,-1.19584750486714,427.584543282167,429.156375757576,-0.0235658205100727,64.7264698526509,0.714414862958242,17.8312837800682,18.7393440559441,-0.00967672338677675,95.0849997871051,0,0,1,0,47998,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787538.2,421.1617,419.9874,18.75748,17.82303,424.9258,18.91118,500.0739,90.55513,0.09992601,26.17702,24.99165,999.9,0,0,10002.5,0,0.281038,1.174014,429.2125,427.609,0.9344513,419.9874,17.82303,1.698588,1.613968,14.8835,14.0928,0.00100019,0,0,0,623.6,0.00100019,-18.35,-3.4,35.125,39.9937,37.312,40.6497,37.437,0,0,0,1663787543.4,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.171035,-0.135450506566604,0.0339289848065043,0,0.91036735,0.258155819887428,0.0278022975584303,0,0,2,"0/2",2.9827,2.71543,0.0952949,0.0935589,0.0905774,0.0855352,28626.9,28854.8,29409.7,29440.8,35449.5,35783.8,41440.9,41942,1.97237,1.88375,0.00912696,0,24.8317,999.9,42.7,31.3,21.6383,64.1599,29.4271,1,-0.0525457,1.17675,20.3494,5.22388,12.0099,4.99095,3.28933,9999,9999,9999,253.1,1.86772,1.86683,1.86628,1.86615,1.86799,1.87046,1.86919,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1539,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410,27410,1.03394,2.21802,1.39648,2.34253,1.49536,2.38037,36.8604,24.0087,18,531.246,430.728,24.3279,26.7455,29.9995,26.7642,26.7106,20.7135,22.3947,21.1832,26.1748,420,17.6461,100.593,100.742,6
6,1663787546,25,2022-09-21 14:12:26,14:12:26,5,"a_n_210_130","stan",1663787543.5,0.00073379607555217,0.733796075552177,-1.23336342272593,421.151112649608,454.437475115731,41.1983044632211,38.1806358719518,0.0441768732939739,2.75907863025119,0.0437876462434787,0.0274019634588788,0.000159630324,25.9558297478075,24.9761111111111,3.17515180270576,49.8175177810266,1.69672429996215,3.40587884651363,1.47842750274361,-32.360406931851,175.761636259435,13.5518306946414,156.953219652549,-1.27859149762769,0.81523773260789,-1.23336342272593,427.622622093606,429.149236363636,-0.00426367426885624,64.7264698526509,0.733796075552177,17.780505076879,18.6990062937063,-0.00788511886875081,95.0849997871051,0,0,1,0,48086,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787543.5,421.151111111111,420.029,18.7157,17.7558888888889,424.915333333333,18.8697444444444,500.085888888889,90.5577,0.100106011111111,26.1577222222222,24.9761111111111,999.9,0,0,10002.9233333333,0,0.281038,1.12197666666667,429.183555555556,427.622,0.959809,420.029,17.7558888888889,1.69485,1.60793222222222,14.8493444444444,14.0350333333333,0.00100019,0,0,0,616.388888888889,0.00100019,-9.44444444444444,-3.55555555555556,35.187,40.062,37.347,40.7568888888889,37.472,0,0,0,1663787548.2,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.1528695,-0.127177711069419,0.0331977829794401,0,0.930323075,0.212360228893055,0.0237208017764867,0,0,2,"0/2",2.98306,2.71575,0.0952912,0.0935624,0.0904488,0.0852954,28626.6,28854.7,29409.3,29440.7,35454,35793.2,41440.2,41941.9,1.97337,1.8835,0.00856817,0,24.8274,999.9,42.7,31.3,21.6387,64.0199,29.1546,1,-0.0430488,-5.0405,20.2611,5.22702,12.0101,4.9929,3.29,9999,9999,9999,253.1,1.8677,1.86684,1.86619,1.86615,1.86798,1.87044,1.86915,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1542,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410.1,27410.1,1.03394,2.22046,1.39648,2.34253,1.49536,2.41089,36.8842,23.9912,18,531.877,430.545,25.5179,26.7432,30.0062,26.7603,26.7062,20.712,22.6657,21.1832,26.1921,420,17.6184,100.591,100.742,6
7,1663787551.1,30.0999999046326,2022-09-21 14:12:31,14:12:31,5,"a_n_210_130","stan",1663787548.59,0.00082051671989018,0.820516719890184,-1.27096821806391,421.137001585492,451.016799421459,40.8886137125334,38.1797489582923,0.0493130513058783,2.76027234437075,0.0488287995211503,0.0305611113922515,0.000159630324,25.9606928500893,24.98714,3.17724054289427,49.6754363569321,1.69474996451768,3.41164585317465,1.48249057837659,-36.1847873471571,178.456601831582,13.7564133560996,156.028387470849,-1.31226939823007,0.835596756708793,-1.27096821806391,427.54696385701,429.120686957341,-0.00451290742907975,64.7264698526509,0.820516719890184,17.7218983276678,18.6909573055343,-0.00042806388514887,95.0849997871051,0,0,1,0,48050,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787548.59,421.137,419.9847,18.69373,17.70988,424.9011,18.84798,500.0618,90.55877,0.09996769,26.18635,24.98714,999.9,0,0,10009.868,0,0.281038,1.152206,429.1596,427.5568,0.9838596,419.9847,17.70988,1.692882,1.603784,14.83131,13.9952,0.00100019,0,0,0,626.85,0.00100019,-10.2,-3.35,35.187,40.1124,37.375,40.8498,37.5186,0,0,0,1663787553.6,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.14607902439024,-0.0263925428577447,0.0331577169625736,1,0.951977536585366,0.185495623852285,0.0202383519502774,0,1,2,"1/2",2.98302,2.71563,0.095294,0.093564,0.0904195,0.0851767,28626.1,28854,29408.7,29440.1,35454.4,35797.4,41439.4,41941.3,1.97322,1.88355,0.0118613,0,24.8216,999.9,42.8,31.3,21.6888,63.9917,29.5913,1,-0.0508486,-1.74347,20.3423,5.22538,12.0099,4.992,3.29,9999,9999,9999,253.1,1.86771,1.86683,1.86625,1.86615,1.86798,1.87047,1.86918,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1543,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410.2,27410.2,1.03394,2.2229,1.39648,2.34253,1.49536,2.33398,36.8842,23.9999,18,531.74,430.543,26.3647,26.7415,29.9973,26.7563,26.702,20.7112,22.9528,21.1832,26.1993,420,17.5865,100.589,100.74,6
8,1663787556.1,35.0999999046326,2022-09-21 14:12:36,14:12:36,5,"a_n_210_130","stan",1663787553.3,0.00081931301273384,0.819313012733845,-1.2532513548259,421.1176015655,450.741477321701,40.8640572318896,38.178367506762,0.048805181857841,2.75892556564801,0.0483305723157419,0.0302488647299003,0.000159630324,26.0236820336425,25.04709,3.18861537510357,49.4436396566544,1.69310673658041,3.4243165518106,1.49550863852316,-36.1317038615626,178.785999896399,13.7970340866579,156.451489751819,-1.26615966421712,0.852063076364265,-1.2532513548259,427.608321946387,429.136381818182,0.00058262110437487,64.7264698526509,0.819313012733845,17.6879491307752,18.6595160839161,-0.00098781511497111,95.0849997871051,0,0,1,0,48024,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787553.3,421.1176,420.0289,18.67542,17.67214,424.8816,18.82981,500.0501,90.5597,0.09993371,26.2491,25.04709,999.9,0,0,10001.797,0,0.281038,1.088655,429.1317,427.5853,1.0032848,420.0289,17.67214,1.691242,1.600385,14.81626,13.9625,0.00100019,0,0,0,631.1,0.00100019,-17.35,-3.85,35.2185,40.1684,37.3936,40.9247,37.5558,0,0,0,1663787558.4,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.13375292682927,-0.275132951071576,0.0424859009178283,0,0.967916609756097,0.265174055108035,0.02619621117259,0,0,2,"0/2",2.98281,2.71563,0.0952943,0.0935638,0.0903043,0.0849714,28626.9,28854.3,29409.6,29440.4,35460.1,35805.8,41440.7,41941.6,1.97295,1.88375,0.0161193,0,24.8185,999.9,42.8,31.3,21.6892,64.0917,29.7796,1,-0.0541438,-0.650907,20.3518,5.22448,12.0099,4.99185,3.28998,9999,9999,9999,253.1,1.86771,1.86681,1.86624,1.86615,1.86798,1.87046,1.8692,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1546,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410.3,27410.3,1.03394,2.22046,1.39648,2.34253,1.49536,2.40479,36.8842,24.0087,18,531.525,430.633,26.4042,26.7392,29.9971,26.7528,26.6981,20.7115,22.9528,21.1832,26.2895,420,17.587,100.593,100.741,6
9,1663787561.1,40.0999999046326,2022-09-21 14:12:41,14:12:41,5,"a_n_210_130","stan",1663787558.6,0.00078125904175416,0.78125904175416,-1.25267617050401,421.090223792284,452.977611413415,41.0668564743085,38.1759525139746,0.0460863374788821,2.75615647379467,0.045662465519123,0.0285767991298127,0.000159630324,26.0819923075583,25.0982888888889,3.19835794000163,49.1848833891242,1.68903022175526,3.43404335920158,1.50932771824638,-34.4535237413585,178.136185484786,13.7675581411219,157.450379514874,-1.26702825863696,0.863056870472771,-1.25267617050401,427.537162903317,429.071660606061,-0.00095097303962596,64.7264698526509,0.78125904175416,17.6206378206034,18.6115377622378,-0.0102538605581078,95.0849997871051,0,0,1,0,47941,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787558.6,421.090222222222,420.006,18.6304222222222,17.6141444444444,424.854111111111,18.7851888888889,500.047,90.5597777777778,0.1000152,26.2971333333333,25.0982888888889,999.9,0,0,9985.41666666667,0,0.281038,1.08424222222222,429.084444444445,427.536666666667,1.01627555555556,420.006,17.6141444444444,1.68716888888889,1.59513333333333,14.7788555555556,13.9118888888889,0.00100019,0,0,0,634.722222222222,0.00100019,-11.2777777777778,-3.77777777777778,35.25,40.236,37.437,41.0206666666667,37.583,0,0,0,1663787563.2,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.11092073170732,-0.19672753908841,0.0355166862460961,0,0.989955756097561,0.235152791799645,0.0239022051536841,0,0,2,"0/2",2.98289,2.71578,0.0952914,0.0935658,0.0901478,0.0848913,28628.3,28855,29411,29441.2,35467.8,35809.8,41442.4,41942.6,1.97295,1.88345,0.0184514,0,24.8189,999.9,42.8,31.3,21.6873,64.1317,29.7476,1,-0.0555056,-0.483257,20.3526,5.22223,12.0099,4.9911,3.28953,9999,9999,9999,253.1,1.86773,1.86683,1.86626,1.86615,1.86798,1.87051,1.86917,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.763,-0.155,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410.4,27410.4,1.03394,2.21802,1.39648,2.34253,1.49536,2.43408,36.8842,24.0087,18,531.489,430.421,26.3929,26.7364,29.9982,26.7489,26.6937,20.7111,22.9528,21.1832,26.1889,420,17.7039,100.597,100.743,6
10,1663787566.1,45.0999999046326,2022-09-21 14:12:46,14:12:46,5,"a_n_210_130","stan",1663787563.3,0.00078282519203517,0.782825192035173,-1.26083899633756,421.067801576092,453.405462721365,41.1059774740831,38.1742281241222,0.0458069921157791,2.75989624853714,0.0453887797323243,0.0284052437090124,0.000159630324,26.1083528756775,25.14473,3.20721764201991,49.0134718628094,1.68578079349947,3.4394233451122,1.52143684852045,-34.5225909687511,175.413306481664,13.543704458222,154.434579601459,-1.26499558751152,0.838025025688414,-1.26083899633756,427.483356026873,429.026721212121,-0.00073501521801421,64.7264698526509,0.782825192035173,17.6072523302534,18.5819692307692,-0.00765103247191676,95.0849997871051,0,0,1,0,47963,0.00100019,0.00084015959999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663787563.3,421.0678,419.9734,18.59443,17.60764,424.8317,18.7495,500.0714,90.56062,0.09990541,26.32365,25.14473,999.9,0,0,10007.438,0,0.281038,1.094626,429.0458,427.5004,0.9868035,419.9734,17.60764,1.683923,1.594559,14.74901,13.90632,0.00100019,0,0,0,627.55,0.00100019,-3.8,-2.1,35.2562,40.2686,37.4811,41.1061,37.625,0,0,0,1663787568.6,0,0,"--:--:--",1662142938.1,1662142938.1,0,0.077,-0.133,-3.393,-0.24,419,24,0.26,0.23,1.10393048780488,-0.15910885039522,0.0359082915862074,0,0.996933853658537,0.0549365358040491,0.0161822853183636,1,1,2,"1/2",2.98283,2.71547,0.0952869,0.0935611,0.0900552,0.0849084,28629.5,28855.8,29412,29441.8,35472.8,35810,41444.1,41943.6,1.97283,1.8837,0.0209212,0,24.8219,999.9,42.8,31.3,21.6915,63.8717,29.4151,1,-0.0557292,0.160264,20.3531,5.21969,12.0099,4.9904,3.2891,9999,9999,9999,253.1,1.86773,1.86681,1.86628,1.86615,1.86799,1.87046,1.86919,1.87057,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.764,-0.1552,-2.1637151379282,-0.00412533899921261,9.58208691027247e-07,-2.67151215424902e-10,-0.192332526386058,-0.0122523700372516,0.0011762516042584,-2.22278819166664e-05,3,2353,1,24,27410.5,27410.5,1.03394,2.21924,1.39648,2.34253,1.49536,2.47314,36.908,24.0087,18,531.37,430.541,26.2967,26.733,29.9994,26.745,26.6898,20.7135,22.1474,21.1832,26.0392,420,17.8651,100.601,100.746,6
